Rounded size;RECOFI_bio_length_class_label;RECOFI_bio_length_class_code;IOTC_bio_length_class_code;IOTC_bio_length_class_label;bio_length_measurement_type_label;bio_length_measurement_type_code;length_measurement_unit
86;86-86.9 cm;C077;C077;86-86.9 cm;Fork length;FL;cm
87;87-87.9 cm;C078;C078;87-87.9 cm;Fork length;FL;cm
88;88-88.9 cm;C079;C079;88-88.9 cm;Fork length;FL;cm
89;89-89.9 cm;C080;C080;89-89.9 cm;Fork length;FL;cm
90;90-90.9 cm;C081;C081;90-90.9 cm;Fork length;FL;cm
91;91-91.9 cm;C082;C082;91-91.9 cm;Fork length;FL;cm
92;92-92.9 cm;C083;C083;92-92.9 cm;Fork length;FL;cm
93;93-93.9 cm;C084;C084;93-93.9 cm;Fork length;FL;cm
94;94-94.9 cm;C085;C085;94-94.9 cm;Fork length;FL;cm
95;95-95.9 cm;C086;C086;95-95.9 cm;Fork length;FL;cm
96;96-96.9 cm;C087;C087;96-96.9 cm;Fork length;FL;cm
97;97-97.9 cm;C088;C088;97-97.9 cm;Fork length;FL;cm
98;98-98.9 cm;C089;C089;98-98.9 cm;Fork length;FL;cm
99;99-99.9 cm;C090;C090;99-99.9 cm;Fork length;FL;cm
100;100-100.9 cm;C091;C091;100-100.9 cm;Fork length;FL;cm
101;101-101.9 cm;C092;C092;101-101.9 cm;Fork length;FL;cm
102;102-102.9 cm;C093;C093;102-102.9 cm;Fork length;FL;cm
103;103-103.9 cm;C094;C094;103-103.9 cm;Fork length;FL;cm
104;104-104.9 cm;C095;C095;104-104.9 cm;Fork length;FL;cm
105;105-105.9 cm;C096;C096;105-105.9 cm;Fork length;FL;cm
106;106-106.9 cm;C097;C097;106-106.9 cm;Fork length;FL;cm
107;107-107.9 cm;C098;C098;107-107.9 cm;Fork length;FL;cm
108;108-108.9 cm;C099;C099;108-108.9 cm;Fork length;FL;cm
109;109-109.9 cm;C100;C100;109-109.9 cm;Fork length;FL;cm
110;110-110.9 cm;C101;C101;110-110.9 cm;Fork length;FL;cm
111;111-111.9 cm;C102;C102;111-111.9 cm;Fork length;FL;cm
112;112-112.9 cm;C103;C103;112-112.9 cm;Fork length;FL;cm
113;113-113.9 cm;C104;C104;113-113.9 cm;Fork length;FL;cm
114;114-114.9 cm;C105;C105;114-114.9 cm;Fork length;FL;cm
115;115-115.9 cm;C106;C106;115-115.9 cm;Fork length;FL;cm
