code,uri,label,definition
1,NA,Aluminium,Aluminium
2,NA,Ferrocement,Ferrocement
3,NA,Fiberglass,Glass Reinforced Plastic (GRP) or Fiber-reinforced plastics (FRP)
4,NA,Steel,Steel
5,NA,Wood,Wood
6,NA,Other,Other
