"code","uri","label","definition"
"GT x fishing days",,"GT x fishing days",
"Net Length x fishing days",,"Net Length x fishing days",
"Number of traps / pots x Fishing days",,"Number of traps / pots x Fishing days",
"Number of hooks x fishing days",,"Number of hooks x fishing days",
"Number of lines x fishing days",,"Number of lines x fishing days",
