code,uri,label,definition
1,,Species with fisheries management plans endorsed or under development,
2,,"Species of interest to historical WGs of regional bodies (WECAFC,CRFM,OSPESCA, including through the ICM)",
3,,"Species in high seas (areas beyond national jurisdiction)/straddling/shared and not under mandate of another RFMO",
4,,"Species for WECAFC region originating from 1978 working party on fisherystatistics",
5,,"Species under the mandate of other RFMOs",
