"code","uri","label_en","label_fr"
"BF",NA,"Blast Freezer","Congélateur rapide (tunnel)"
"BW",NA,"Brine-freezing well","Cuve de saumure"
"IC",NA,"Ice storage","Stockage sur glace"
"ND",NA,"No dedicated storage","Aucun système de stockage dédié"
"RC",NA,"Refrigeration chamber","Chambre réfrigérée"
