"code","uri","label_en","label_fr","definition_en","definition_fr"
"ABNJ",NA,"Areas beyond national jurisdiction","Zones hors juridictions nationales","Vessels operate exclusively in areas beyond national jurisdiction of their flag state (i.e., high seas or areas under national jurisdiction of other coastal states)","Les navires opèrent exclusivement dans des zones situées au-delà de la juridiction nationale de leur État du pavillon (c'est-à-dire en haute mer ou dans des zones placées sous la juridiction nationale d'autres États côtiers)"
"NJA",NA,"National jurisdiction areas","Zones sous juridictions nationales","Vessels operate exclusively within areas under national jurisdiction of their flag state (territorial sea, contiguous zone as well as EEZ waters)","Les navires opèrent exclusivement dans les zones relevant de la juridiction nationale de leur État du pavillon (mer territoriale, zone contiguë et eaux de la ZEE)"
"NJA_ABNJ",NA,"National jurisdiction areas and beyond","Zones sous et hors jurisdictions nationales","Vessels operate in areas under national jurisdiction as well as in areas beyond national jurisdiction of their flag state (i.e., high seas or areas under national jurisdiction of other coastal states)","Les navires opèrent dans des zones sous juridiction nationale ainsi que dans des zones situées au-delà de la juridiction nationale de l'État du pavillon (c'est-à-dire en haute mer ou dans des zones sous juridiction nationale d'autres États côtiers)"
