"code","uri","label_en","label_fr"
"AW",NA,"Adverse weather conditions","Conditions météorologiques défavorables"
"GL",NA,"Gear lost","Engin perdu"
"MB",NA,"Mechanical breakdown or inoperative gear","Panne mécanique ou engin inutilisable"
"OT",NA,"Unforeseen reason","Raison imprévue"
