"code","uri","label_en","label_fr","definition_en","definition_fr"
"AF",NA,"Fishing on schools associated with anchored floating objects","Sur bancs associés à des objets flottants ancrés","Fish is caught with the fishing gear when associated with an anchored floating object","Les poissons sont capturés par l'engin de pêche lorsqu'ils sont en association avec un objet flottant ancré"
"DA",NA,"Fishing on dolphin-associated schools","Sur bancs associés à des dauphins","Fish is caught with the fishing gear when associated with dolphins","Les poissons sont capturés par l'engin de pêche lorsqu'ils sont en association avec des dauphins"
"DF",NA,"Fishing on schools associated to drifting floating objects","Sur bancs associés à des objets flottants dérivants","Fish is caught with the fishing gear when associated with a drifting floating object","Les poissons sont capturés par l'engin de pêche lorsqu'ils sont en association avec avec un objet flottant dérivant"
"FS",NA,"Fishing on free schools","Sur bancs libres","Fish is caught with the fishing gear when unassociated","Les poissons sont capturés par l'engin de pêche lorsqu'ils sont en banc libre, c-à-d. non associés"
"MA",NA,"Fishing on seamount-associated schools","Sur bancs associés à des monts sous-marins","Fish is caught with with fishing gear when associated with a seamount","Les poissons sont capturés par l'engin de pêche lorsqu'ils sont en association avec avec un mont sous-marin"
