"code","uri","label_en","label_fr","definition_en","definition_fr"
"COASTAL",NA,"Coastal fisheries","Pêcheries côtières","Fisheries other than longline or surface fisheries, also called artisanal fisheries","Pêcheries autres que palangrières et de surface, également appelées pêcheries artisanales"
"LONGLINE",NA,"Longline fisheries","Pêcheries palangrières","Fisheries operated by vessels in the IOTC Record of Authorized Vessels that use longline gear","Pêcheries opérées par des navires enregistrés dans le Registre CTOI des Navires Autorisés utilisant la palangre comme engin de pêche"
"SURFACE",NA,"Surface fisheries","Pêcheries de surface","All fisheries operated by vessels in the IOTC Record of Authorized Vessels other than longline fisheries; in particular purse seine, pole-and-line, gillnet fisheries, handline and trolling vessels","Toutes les pêcheries opérées par des navires enregistrés dans le Registre CTOI des Navires Autorisés autres que les pêcheries palangrières, utilisant notamment la senne, la canne, le filet maillant, les lignes à main ou de traîne"
