"code","uri","label_en","label_fr"
"AS",NA,"At sea disposal","Rejet en mer"
"IN",NA,"Incinerated","Incinéré"
"LD",NA,"Land disposal","Disposition à terre"
"OT",NA,"Other","Autre"
"RO",NA,"Retained on board","Retenu à bord"
"UK",NA,"Unknown","Inconnu"
