"code","uri","label_en","label_fr","definition_en","definition_fr"
"GI",NA,"Gillnets","Filets maillants","A subset of ISSCFG 07 (gillnets and encircling nets): includes set gillnets (07.1), drift gillnets (07.2) and encircling gillnets (07.3)","Extrait d'ISSCFG 07 (filets maillants et encerclants) : inclut les filets maillants calés (07.1), filets maillants dérivants (07.2) et les filets maillants encerclants (07.3)"
"HL",NA,"Hooks and lines","Lignes et hameçons","A subset of ISSCFG 09 (hooks and lines): includes manual (09.1) and mechanized handlines (09.2), vertical lines (09.4) and trolling lines (09.5)","Extrait d'ISSCFG 09 (lignes et hameçons) : inclut les lignes à main manuelles (09.1) et mécanisées (09.2), les lignes verticales (09.4) et les lignes traînantes (09.5)"
"LL",NA,"Longlines","Palangres","A subset of ISSCFG 09 (hooks and lines): includes set longlines (09.31), and drifting longlines (09.32)","Extrait d'ISSCFG 09 (lignes et hameçons) : inclut les palangres ancrées (09.31) et les palangres dérivantes (09.32)"
"OT",NA,"Other gears","Autres engins","A subset of ISSCFG 02 (seine nets), 03 (trawls), 05 (lift nets), 07 (falling gear), 08 (traps), and 10 (miscellaneous gear)","Extrait d'ISSCFG 02 (sennes), 03 (chaluts), 05 (filets soulevés), 07 (engins retombants), 08 (casiers) et 10 (divers engins de pêche)"
"PL",NA,"Pole-and-lines","Cannes","A subset of ISSCFG 09 (hooks and lines): includes manual (09.1) and mechanized pole-and-lines (09.2)","Extrait d'ISSCFG 09 (lignes et hameçons) : inclut lignes avec cannes manuelles (09.1) et mécanisées (09.2)"
"PS",NA,"Purse seines","Sennes","A subset of ISSCFG 01 (surrounding nets): includes purse seines (01.1) and ring nets and lampara nets, i.e. surrounding nets without purse seines (01.2)","Extrait d'ISSCFG 01 (filets tournants) : inclut les filets tournants avec coulisse (01.1) et les filets tournants sans coulisse (filets lampara, ""ring nets"") (01.2)"
