"code","uri","label_en","label_fr","definition_en","definition_fr"
"COM",NA,"Commercial","Commerciale","The fish is sold at the landing site or at a market, exported, or sold to processing / canning factories","Le poisson est vendu sur le site de débarquement ou sur un marché, exporté ou vendu à des usines de transformation ou de mise en conserve"
"REC",NA,"Recreational","Récréative","The fish is caught for recreational purposes only","Le poisson est exclusivement pêché à des fins récréatives"
"SAC",NA,"Subsistence and Commercial","Subsistance et Commerciale","The fish is either consumed by the fishers and their households or sold at the landing site or at a market, exported, or sold to processing / canning factories","Le poisson est consommé par les pêcheurs et leurs familles ou vendu à des usines de transformation ou de mise en conserve"
"SCI",NA,"Scientific","Scientifique","The fishery only operates to collect scientific information or support the training of scientists and fishers","La pêche n'est pratiquée que pour collecter des informations scientifiques ou soutenir la formation des scientifiques et des pêcheurs"
"SUB",NA,"Subsistence","Subsistance","The fish is exclusively consumed by the fishers and their households","Le poisson est exclusivement consommé par les pêcheurs et leurs familles"
