"code","uri","label_en","label_fr"
"NL",NA,"Tail made of nets panels with a stretched mesh of less than 7 cm","Queue composée de panneaux de filet avec des mailles étirées de moins de 7 cm"
"NM",NA,"Tail made of nets panels with a stretched mesh of more than 7 cm","Queue composée de panneaux de filet avec des mailles étirées de plus de 7 cm"
"NS",NA,"Tail made of nets rolled in ""sausages""","Queue composée de filets enroulés en ""saucisses"""
"RC",NA,"Tail made of ropes and canvas","Queue composée de cordes et de toile"
"RO",NA,"Tail made of ropes","Queue composée de cordes"
