"code","uri","label_en","label_fr"
"CP",NA,"Cardboard and paper","Carton et papier"
"KW",NA,"Kitchen waste","Déchets de cuisine"
"MG",NA,"Metal and glass","Métal et verre"
"NB",NA,"Non-biodegradable fishing gear","Engin de pêche non-biodégradable"
"OF",NA,"Oil and fuel","Huile et carburant"
"OT",NA,"Other","Autre"
"PL",NA,"Plastic","Plastique"
