code,label,speciesid,sciename,label_fr, label_es,iccspcgrp,taxontype
BEN,"Needlefishes, etc. nei",330,Belonidae,"Aiguilles, orphies nca","Agujones, maraos nep",6-Other Species,4-Family
CWO,Gulper sharks nei,252,Centrophorus spp,Squales-chagrins nca,Quelvachos nep,5-Sharks (other),2-Genus
HMM,Mediterranean horse mackerel,352,Trachurus mediterraneus,Chinchard à queue jaune,Jurel mediterráneo,6-Other Species,1-Species
MOP,Sunfishes nei,360,Mola spp,Poissons lune nca,Peces luna nep,6-Other Species,2-Genus
oSmt,NA,NA,other small tuna,NA,NA,2-Tuna (small),1-Species
oSks,other sharks,NA,other sharks,NA,NA,5-Sharks (other),1-Species
oTun,other tuna,NA,other tuna,NA,NA,1-Tuna (major sp.),1-Species
LGH,Oceanic puffer,316,Lagocephalus lagocephalus,Compère océanique,Tamboril liebre,6-Other Species,1-Species
BVP,Bluespotted triggerfish,311,Balistes punctatus,Baliste à taches bleues,Pejepuerco moteado,6-Other Species,1-Species
BRZ,"Pomfrets, ocean breams nei",333,Bramidae,Castagnoles nca,Japutas nep,NA,4-Family
DWH,Atlantic white-sided dolphin,411,Lagenorhynchus acutus,Dauphin à flancs blancs Atlan.,Delfín de flancos blancos,9-Mammals,1-Species
TTH,Hawksbill turtle,703,Eretmochelys imbricata,Tortue caret,Tortuga carey,7-Sea turtles,1-Species
TTX,Marine turtles nei,706,Cheloniidae,Tortues de mer nca,Tortugas de mar nep,7-Sea turtles,4-Family
LHZ,Herring gull,800,Larus argentatus,Goéland argenté,Gaviota argéntea,8-Seabirds,1-Species
AVO,Smooth alligatorfish,197,Anoplagonus inermis,,,5-Sharks (other),1-Species
CCI,Blackspot shark,140,Carcharhinus sealei,Requin à tache noir,Tiburón alinegro,5-Sharks (other),1-Species
CCM,Hardnose shark,142,Carcharhinus macloti,Requin à nez rude,Tiburón trompudo,5-Sharks (other),1-Species
CPU,Little gulper shark,172,Centrophorus uyato,Petit squale-chagrin,Galludito,5-Sharks (other),1-Species
CYY,Shortnose velvet dogfish,183,Centroscymnus cryptacanthus,Pailona sans épine,Pailona ñata,5-Sharks (other),1-Species
DKK,Leatherback turtle,700,Dermochelys coriacea,Tortue Luth,Tortuga Laud,7-Sea turtles,1-Species
DLP,Dolphins nei,428,Delphinidae,Dauphins nca,Delfínidos nep,9-Mammals,4-Family
DNA,Deania dogfishes nei,180,Deania spp,Squales-savate nca,Tollos deania nep,5-Sharks (other),2-Genus
ETP,Smooth lanternshark,177,Etmopterus pusillus,Sagre nain,Tollo lucero liso,5-Sharks (other),1-Species
LKV,Olive Ridley turtle,701,Lepidochelys olivacea,Tortue olivatre,Tortuga golfina,7-Sea turtles,1-Species
LKY,Kemp's ridley turtle,702,Lepidochelys kempii,Tortue de Kemp,Tortuga lora,7-Sea turtles,1-Species
LMO,goblin shark ,249,Mitsukurina owstoni ,Requin lutin,Tiburón duende,5-Sharks (other),1-Species
LMT,Broadfin shark,127,Lamiopsis temmincki,Requin grandes ailes,Tiburón aletón,5-Sharks (other),1-Species
LVU,Great black-backed gull,804,Larus marinus,Goéland marin,Gavión atlántico,8-Seabirds,1-Species
MAH,Hall's giant petrel,832,Macronectes halli,Pétrel De Hall,Petrel gigante de Hall,8-Seabirds,1-Species
PUG,Great shearwater,805,Puffinus gravis,Puffin majeur,Pardela capirotada,8-Seabirds,1-Species
SHW,Short-finned pilot whale,423,Globicephala macrorhynchus,Globicéphale tropical,Calderón de aletas cortas,9-Mammals,1-Species
TTL,Loggerhead turtle,704,Caretta caretta,Caouane,Caguama,7-Sea turtles,1-Species
TUG,Green turtle,705,Chelonia mydas,Tortue verte,Tortuga verde,7-Sea turtles,1-Species
