"code","label"
"AU","Australia"
"JP","Japan"
"KR","Korea, Republic of"
"NZ","New Zealand"
"TW","Taiwan, Fishing Entity of"
"ZA","South Africa"
"PH","Philippines"
"ID","Indonesia"
"EU","European Community"
"Miscellaneous","Miscellaneous"
"Research & Other","Research & Other"
