"code","label"
"UNA","Unassociated schools"
"LOG","Natural Log schools / debris"
"DFAD","Drifting FAD"
"AFAD","Anchored FAD"
"OTH","Other set types combined (combination of Whale-shark associated, Marine mammal associated (essentially whales in our area) and unknown/unidentified.)"
