code,label,flagid,status,partyname
AUS,Australia,208,NCO,Non-contracting parties
FJI,Fiji Islands,209,NCO,Non-contracting parties
GUM,Guam,210,NCO,Non-contracting parties
IDN,Indonesia,211,NCO,Non-contracting parties
KIR,Kiribati,212,NCO,Non-contracting parties
MDV,Maldives,213,NCO,Non-contracting parties
PNG,Papua New Guinea,214,NCO,Non-contracting parties
LKA,Sri Lanka,215,NCO,Non-contracting parties
VNM,Vietnam,216,NCO,Non-contracting parties
SGP,Singapore,217,NCO,Non-contracting parties
OMN,Oman,218,NCO,Non-contracting parties
NZL,New Zealand,219,NCO,Non-contracting parties
FSM,Micronesia,220,NCO,Non-contracting parties
COK,Cook Islands,221,NCO,Non-contracting parties
BOL,Bolivia,222,NCC,Bolivia
PLW,Palau,223,NCO,Non-contracting parties
TON,Tonga,224,NCO,Non-contracting parties
KEN,Kenya,225,NCO,Non-contracting parties
PYF,Polynesie Française,226,NCO,Non-contracting parties
EU.SVN,EU.Slovenia,227,CP,EUROPEAN UNION
PER,Perú,228,NCO,Non-contracting parties
CHE,Switzerland,229,NCO,Non-contracting parties
TZA,Tanzania,230,NCO,Non-contracting parties
ARE,United Arab Emirates,231,NCO,Non-contracting parties
KWT,Kuwait,232,NCO,Non-contracting parties
HTI,Haiti,233,NCO,Non-contracting parties
MDG,Madagascar,234,NCO,Non-contracting parties
MOZ,Mozambique,235,NCO,Non-contracting parties
WSM,Samoa,236,NCO,Non-contracting parties
SLB,Solomon Islands,238,NCO,Non-contracting parties
MHL,Marshall Islands,239,NCO,Non-contracting parties
EU.HUN,EU.Hungary,240,CP,EUROPEAN UNION
TUV,Tuvalu,241,NCO,Non-contracting parties
BND,Brunei,242,NCO,Non-contracting parties
BFA,Burkina Faso,243,NCO,Non-contracting parties
NCL,New Caledonia,244,NCO,Non-contracting parties
SAU,Saudi Arabia,245,NCO,Non-contracting parties
AND,Andorra,246,NCO,Non-contracting parties
EU.AUT,EU Austria,247,CP,EUROPEAN UNION
DJI,Djibouti,248,NCO,Non-contracting parties
BIH,Bosnia and Herzegovina,249,NCO,Non-contracting parties
EU.CZE,EU.Czechia,250,CP,EUROPEAN UNION
EU.FIN,EU.Finland,251,CP,EUROPEAN UNION
EU.LUX,EU.Luxemburg,252,CP,EUROPEAN UNION
EU.SVK,EU.Slovakia,253,CP,EUROPEAN UNION
MKD,North Macedonia Rep.,254,NCO,Non-contracting parties
MNG,Mongolia,255,NCO,Non-contracting parties
IMN,Isle of Man,256,NCO,Non-contracting parties
QAT,Qatar,257,NCO,Non-contracting parties
SMR,San Marino,258,NCO,Non-contracting parties
NEI.FLAGS,NEI (Flag related),500,NCO,Non-contracting parties
NEI.001,NEI (ETRO),501,NCO,Non-contracting parties
NEI.002,NEI (MED),502,NCO,Non-contracting parties
NEI.COMB,NEI (combined),503,NCO,Non-contracting parties
NEI-BIL,NEI (BIL),505,NCO,Non-contracting parties
NEI.INFLT,NEI (inflated),506,NCO,Non-contracting parties
MIX.FIS,Mixed flags (FIS),800,NCO,Non-contracting parties
MIX.KR+PA,Mixed flags (KR+PA),801,NCO,Non-contracting parties
MIX.FR+ES,Mixed flags (FR+ES),802,NCO,Non-contracting parties
MIX.EU-ETRO,Mixed flags (EU tropical),803,NCO,Non-contracting parties
ICCAT-RMA,ICCAT (RMA),924,NCO,Non-contracting parties
