"code","uri","label_en","label_fr"
"IND",NA,"Industrial fisheries","Pêcheries industrielles"
"ART",NA,"Artisanal fisheries","Pêcheries artisanales"
"SI",NA,"Semi-industrial","Pêcheries semi-industrielles"
