"code","uri","label_en","label_fr"
"BB",NA,"Baitboat","Canne"
"GILL",NA,"Gillnet","Filet maillant"
"LINE",NA,"Line","Lignes"
"LL",NA,"Longline","Palangre"
"OTHER",NA,"Other","Autres"
"PS",NA,"Purse Seine","Senne tournant"
