"code","uri","label_en","label_fr"
"LB",NA,"Length measured using a measuring board","Longueur mesurée à l’ichthyomètre"
"LC",NA,"Length measured using a calliper","Longueur mesurée avec un pied à coulisse"
"LT",NA,"Length measured using a tape measure","Longueur mesurée au mètre ruban"
"WB",NA,"Weight measured using a spring scale","Poids mesuré au peson"
"WC",NA,"Weight measured using a supermarket scale","Poids mesuré à la balance commerciale"
"WE",NA,"Weight measured using an electronic scale","Poids mesuré à la balance électronique"
