"code","uri","label_en","label_fr"
"AD",NA,"Deployment of anchored FAD","Déploiement d’un DCP ancré"
"AH",NA,"Revisiting and towing of anchored FAD","Revisite et remorquage d’un DCP ancré"
"AL",NA,"Loss of anchored FAD (detached from anchorage point or damaged heavily)","Perte d’un DCP ancré (détaché de son mouillage ou fortement endommagé)"
"AR",NA,"Revisiting anchored FAD","Revisite d’un DCP ancré"
"DD",NA,"Deployment of drifting FAD","Déploiement d’un DCP dérivant"
"DH",NA,"Retrieval/encounter and hauling of drifting FAD","Récupération/rencontre et remontée d’un DCP dérivant"
"DI",NA,"Retrieval/encounter, hauling, and intervention on electronic equipment of drifting FAD","Récupération/rencontre, remontée et intervention sur l’équipement électronique d’un DCP dérivant"
"DL",NA,"Loss of drifting FAD (tracking signal lost)","Perte d’un DCP dérivant (signal de suivi perdu)"
"DR",NA,"Retrieval of drifting FAD ","DR-Récupération d’un DCP dérivant"
