"code","uri","label_en","label_fr","land_area_km2","ocean_area_km2","ocean_area_io_km2","ocean_area_iotc_km2"
"IREASIO",NA,"Indian Ocean - Eastern Area","Océan Indien - Est",0,33519644,33519644,33519644
"IRWESIO",NA,"Indian Ocean - Western Area","Océan Indien - Ouest",0,37214756,37214756,37214756
