code,uri,label,definition,Rounded size,IOTC_bio_length_class_code,IOTC_bio_length_class_label,bio_length_measurement_type_label,bio_length_measurement_type_code,length_measurement_unit
76,NA,76-76.9 cm,NA,76,C067,76-76.9 cm,Fork length,FL,cm
77,NA,77-77.9 cm,NA,77,C068,77-77.9 cm,Fork length,FL,cm
78,NA,78-78.9 cm,NA,78,C069,78-78.9 cm,Fork length,FL,cm
79,NA,79-79.9 cm,NA,79,C070,79-79.9 cm,Fork length,FL,cm
80,NA,80-80.9 cm,NA,80,C071,80-80.9 cm,Fork length,FL,cm
81,NA,81-81.9 cm,NA,81,C072,81-81.9 cm,Fork length,FL,cm
82,NA,82-82.9 cm,NA,82,C073,82-82.9 cm,Fork length,FL,cm
83,NA,83-83.9 cm,NA,83,C074,83-83.9 cm,Fork length,FL,cm
84,NA,84-84.9 cm,NA,84,C075,84-84.9 cm,Fork length,FL,cm
85,NA,85-85.9 cm,NA,85,C076,85-85.9 cm,Fork length,FL,cm
86,NA,86-86.9 cm,NA,86,C077,86-86.9 cm,Fork length,FL,cm
87,NA,87-87.9 cm,NA,87,C078,87-87.9 cm,Fork length,FL,cm
88,NA,88-88.9 cm,NA,88,C079,88-88.9 cm,Fork length,FL,cm
89,NA,89-89.9 cm,NA,89,C080,89-89.9 cm,Fork length,FL,cm
90,NA,90-90.9 cm,NA,90,C081,90-90.9 cm,Fork length,FL,cm
91,NA,91-91.9 cm,NA,91,C082,91-91.9 cm,Fork length,FL,cm
92,NA,92-92.9 cm,NA,92,C083,92-92.9 cm,Fork length,FL,cm
93,NA,93-93.9 cm,NA,93,C084,93-93.9 cm,Fork length,FL,cm
94,NA,94-94.9 cm,NA,94,C085,94-94.9 cm,Fork length,FL,cm
95,NA,95-95.9 cm,NA,95,C086,95-95.9 cm,Fork length,FL,cm
96,NA,96-96.9 cm,NA,96,C087,96-96.9 cm,Fork length,FL,cm
97,NA,97-97.9 cm,NA,97,C088,97-97.9 cm,Fork length,FL,cm
98,NA,98-98.9 cm,NA,98,C089,98-98.9 cm,Fork length,FL,cm
99,NA,99-99.9 cm,NA,99,C090,99-99.9 cm,Fork length,FL,cm
100,NA,100-100.9 cm,NA,100,C091,100-100.9 cm,Fork length,FL,cm
101,NA,101-101.9 cm,NA,101,C092,101-101.9 cm,Fork length,FL,cm
102,NA,102-102.9 cm,NA,102,C093,102-102.9 cm,Fork length,FL,cm
103,NA,103-103.9 cm,NA,103,C094,103-103.9 cm,Fork length,FL,cm
104,NA,104-104.9 cm,NA,104,C095,104-104.9 cm,Fork length,FL,cm
105,NA,105-105.9 cm,NA,105,C096,105-105.9 cm,Fork length,FL,cm
106,NA,106-106.9 cm,NA,106,C097,106-106.9 cm,Fork length,FL,cm
107,NA,107-107.9 cm,NA,107,C098,107-107.9 cm,Fork length,FL,cm
108,NA,108-108.9 cm,NA,108,C099,108-108.9 cm,Fork length,FL,cm
109,NA,109-109.9 cm,NA,109,C100,109-109.9 cm,Fork length,FL,cm
110,NA,110-110.9 cm,NA,110,C101,110-110.9 cm,Fork length,FL,cm
111,NA,111-111.9 cm,NA,111,C102,111-111.9 cm,Fork length,FL,cm
112,NA,112-112.9 cm,NA,112,C103,112-112.9 cm,Fork length,FL,cm
