"code","uri","label_en","label_fr"
"CC",NA,"Retained - crew consumption","Conservé à bord - consommation de l'équipage"
"FB",NA,"Retained - used as bait","Conservé à bord - utilisé comme appât"
"FL",NA,"Retained - for landing / sale","Conservé à bord - pour être débarqué / vendue"
"FR",NA,"Retained - trunk and fins retained (shark only)","Tronc retenu - ailerons retenus (requin seulement)"
"UN",NA,"Retained - reason unknown","Conservé à bord - raison inconnue"
