code,uri,label,definition
138,,"138-138.99","From 138 to 138.99cm"
139,,"139-139.99","From 139 to 139.99cm"
140,,"140-140.99","From 140 to 140.99cm"
141,,"141-141.99","From 141 to 141.99cm"
142,,"142-142.99","From 142 to 142.99cm"
143,,"143-143.99","From 143 to 143.99cm"
144,,"144-144.99","From 144 to 144.99cm"
145,,"145-145.99","From 145 to 145.99cm"
146,,"146-146.99","From 146 to 146.99cm"
147,,"147-147.99","From 147 to 147.99cm"
148,,"148-148.99","From 148 to 148.99cm"
149,,"149-149.99","From 149 to 149.99cm"
150,,"150-150.99","From 150 to 150.99cm"
151,,"151-151.99","From 151 to 151.99cm"
152,,"152-152.99","From 152 to 152.99cm"
153,,"153-153.99","From 153 to 153.99cm"
154,,"154-154.99","From 154 to 154.99cm"
155,,"155-155.99","From 155 to 155.99cm"
156,,"156-156.99","From 156 to 156.99cm"
157,,"157-157.99","From 157 to 157.99cm"
158,,"158-158.99","From 158 to 158.99cm"
159,,"159-159.99","From 159 to 159.99cm"
160,,"160-160.99","From 160 to 160.99cm"
161,,"161-161.99","From 161 to 161.99cm"
162,,"162-162.99","From 162 to 162.99cm"
163,,"163-163.99","From 163 to 163.99cm"
164,,"164-164.99","From 164 to 164.99cm"
165,,"165-165.99","From 165 to 165.99cm"
166,,"166-166.99","From 166 to 166.99cm"
167,,"167-167.99","From 167 to 167.99cm"
168,,"168-168.99","From 168 to 168.99cm"
169,,"169-169.99","From 169 to 169.99cm"
170,,"170-170.99","From 170 to 170.99cm"
171,,"171-171.99","From 171 to 171.99cm"
172,,"172-172.99","From 172 to 172.99cm"
173,,"173-173.99","From 173 to 173.99cm"
174,,"174-174.99","From 174 to 174.99cm"
175,,"175-175.99","From 175 to 175.99cm"
176,,"176-176.99","From 176 to 176.99cm"
177,,"177-177.99","From 177 to 177.99cm"
178,,"178-178.99","From 178 to 178.99cm"
179,,"179-179.99","From 179 to 179.99cm"
180,,"180-180.99","From 180 to 180.99cm"
181,,"181-181.99","From 181 to 181.99cm"
182,,"182-182.99","From 182 to 182.99cm"
183,,"183-183.99","From 183 to 183.99cm"
184,,"184-184.99","From 184 to 184.99cm"
185,,"185-185.99","From 185 to 185.99cm"
186,,"186-186.99","From 186 to 186.99cm"
187,,"187-187.99","From 187 to 187.99cm"
188,,"188-188.99","From 188 to 188.99cm"
189,,"189-189.99","From 189 to 189.99cm"
190,,"190-190.99","From 190 to 190.99cm"
191,,"191-191.99","From 191 to 191.99cm"
192,,"192-192.99","From 192 to 192.99cm"
193,,"193-193.99","From 193 to 193.99cm"
194,,"194-194.99","From 194 to 194.99cm"
195,,"195-195.99","From 195 to 195.99cm"
196,,"196-196.99","From 196 to 196.99cm"
197,,"197-197.99","From 197 to 197.99cm"
198,,"198-198.99","From 198 to 198.99cm"
199,,"199-199.99","From 199 to 199.99cm"
200,,"200-200.99","From 200 to 200.99cm"
