"code","uri","label_en","label_fr","definition_en","definition_fr"
"BO",NA,"Boats","Navires","The total number of fishing vessels is used as the denominator to calculate sampling coverage","Le nombre total de navires de pêche est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"EV",NA,"Events","Événements","The total number of fishing events is used as the denominator to calculate sampling coverage. A fishing event represents a discrete fishing activity, which may include multiple individual actions (e.g., multiple pole-and-line sets carried out simultaneously by different fishers).","Le nombre total d'événements de pêche est utilisé comme dénominateur pour calculer la couverture d'échantillonnage. Un événement de pêche représente une activité de pêche distincte pouvant inclure plusieurs actions individuelles (par exemple plusieurs opérations de pêche à la canne réalisées simultanément par différents pêcheurs)."
"FN",NA,"Fish (in number)","Poissons (en nombre)","The total number of fish, expressed as a count, is used as the denominator to calculate sampling coverage","Le nombre total de poissons, exprimé en unités, est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"FW",NA,"Fish (in weight)","Poissons (en poids)","The total weight of fish is used as the denominator to calculate sampling coverage","Le poids total des poissons est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"HK",NA,"Number of hooks","Nombre d'hameçons","The total number of hooks deployed is used as the denominator to calculate sampling coverage","Le nombre total d'hameçons déployés est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"SE",NA,"Sets","Calées / Opérations","The total number of fishing sets is used as the denominator to calculate sampling coverage","Le nombre total d'opérations de pêche est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"TR",NA,"Trips","Marées","The total number of fishing trips is used as the denominator to calculate sampling coverage","Le nombre total de marées est utilisé comme dénominateur pour calculer la couverture d'échantillonnage"
"UN",NA,"Unknown","Inconnu","The denominator used to calculate sampling coverage is unknown","Le dénominateur utilisé pour calculer la couverture d'échantillonnage est inconnu"
