"code","uri","label_en","label_fr","definition_en","definition_fr"
"CE",NA,"Geo-referenced catches and efforts","Captures et efforts géo-référencés","Dataset containing catch and effort data that are geo-referenced, allowing spatial analysis of fishing activities","Jeu de données contenant les captures et les efforts géo-référencés, permettant l’analyse spatiale des activités de pêche"
"DI",NA,"Discards","Rejets","Dataset reporting the quantity of fish discarded at sea, by species and fishing activity","Jeu de données déclarant la quantité de poissons rejetés en mer, par espèce et activité de pêche"
"FA",NA,"FAD-related activities and efforts","Activités et efforts liés aux DCP","Dataset reporting fishing activities and effort associated with Fish Aggregating Devices (FADs)","Jeu de données déclarant les activités et efforts de pêche associés aux Dispositifs de Concentration de Poissons (DCP)"
"FC",NA,"Fishing craft statistics","Statistiques sur les navires de pêche","Dataset summarising statistics of fishing vessels, including type, capacity, and fleet composition","Jeu de données résumant les statistiques des navires de pêche, incluant type, capacité et composition de la flotte"
"PR",NA,"Fish prices","Prix du poisson","Dataset containing market prices of fish by species, product type, and location","Jeu de données contenant les prix du poisson par espèce, type de produit et lieu"
"RC",NA,"Retained catches","Captures conservées","Dataset reporting the amount of fish caught and retained on board, by species and fishing activity","Jeu de données déclarant la quantité de poissons capturés et conservés à bord, par espèce et activité de pêche"
"RO",NA,"Regional Observer Scheme","Programme régional d’observateurs","Dataset from the IOTC Regional Observer Scheme, reporting catches, effort, and biological information collected by observers","Jeu de données issu du Mécanisme Régional d’Observateurs de la CTOI, déclarant les captures, efforts et informations biologiques collectées par les observateurs"
"SF",NA,"Geo-referenced size-frequencies","Fréquences de tailles géo-référencées","Dataset containing fish size-frequency distributions with geolocation information","Jeu de données contenant les distributions de fréquences de tailles de poissons avec information de géolocalisation"
"SU",NA,"Support vessels effort","Efforts des navires auxiliaires","Dataset reporting fishing effort of support vessels assisting purse seiners' fishing activities","Jeu de données déclarant les efforts des navires auxiliaires participant aux opérations de pêche"
