code,uri,label,definition,label_es,label_fr
SDG_SSA,NA,Sub-Saharan Africa,NA,África Subsahariana,Afrique Subsaharienne
SDG_NAWA,NA,Northern Africa and Western Asia,NA,África septentrional y Asia occidental,Afrique septentrionale et Asie occidentale
SDG_CSA,NA,Central and Southern Asia,NA,Asia central y meridional,Asie centrale et méridionale
SDG_ESEA,NA,Eastern and South-Eastern Asia,NA,Asia oriental y sudoriental,Asie orientale et sud-orientale
SDG_LAC,NA,Latin America and the Caribbean,NA,América Latina y el Caribe,Amérique latine et les Caraïbes
SDG_OCE,NA,Oceania,NA,Oceanía,Océanie
SDG_ENA,NA,Europe and Northern America,NA,Europa y América del Norte,Europe et Amérique du Nord
