code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
27.8.e,NA,West of Bay of Biscay (Division 27.8.e),NA,West of Bay of Biscay (Division 27.8.e),Ouest du golfe de Gascogne (Division 27.8.e),Oeste del Golfo de Vizcaya (División 27.8.e),NA,NA,NA
27.8.d,NA,Bay of Biscay - Offshore (Division 27.8.d),NA,Bay of Biscay - Offshore (Division 27.8.d),Golfe de Gascogne - Large (Division 27.8.d),Golfo de Vizcaya - alta mar (División 27.8.d),NA,NA,NA
21.3.N,NA,"Atlantic, Northwest / 21.3.N",NA,"Atlantic, Northwest / 21.3.N",Atl NW / 21.3.N,Atl NW / 21.3.N,NA,NA,NA
21.4.V,NA,"Atlantic, Northwest / 21.4.V",NA,"Atlantic, Northwest / 21.4.V",Atl NW / 21.4.V,Atl NW / 21.4.V,NA,NA,NA
21.5.Z,NA,"Atlantic, Northwest / 21.5.Z",NA,"Atlantic, Northwest / 21.5.Z",Atl NW / 21.5.Z,Atl NW / 21.5.Z,NA,NA,NA
21.6.B,NA,"Atlantic, Northwest / 21.6.B",NA,"Atlantic, Northwest / 21.6.B",Atl NW / 21.6.B,Atl NW / 21.6.B,NA,NA,NA
21.6.D,NA,"Atlantic, Northwest / 21.6.D",NA,"Atlantic, Northwest / 21.6.D",Atl NW / 21.6.D,Atl NW / 21.6.D,NA,NA,NA
21.6.E,NA,"Atlantic, Northwest / 21.6.E",NA,"Atlantic, Northwest / 21.6.E",Atl NW / 21.6.E,Atl NW / 21.6.E,NA,NA,NA
21.6.F,NA,"Atlantic, Northwest / 21.6.F",NA,"Atlantic, Northwest / 21.6.F",Atl NW / 21.6.F,Atl NW / 21.6.F,NA,NA,NA
21.6.G,NA,"Atlantic, Northwest / 21.6.G",NA,"Atlantic, Northwest / 21.6.G",Atl NW / 21.6.G,Atl NW / 21.6.G,NA,NA,NA
21.6.H,NA,"Atlantic, Northwest / 21.6.H",NA,"Atlantic, Northwest / 21.6.H",Atl NW / 21.6.H,Atl NW / 21.6.H,NA,NA,NA
21.0.A,NA,"Atlantic, Northwest / 21.0.A",NA,"Atlantic, Northwest / 21.0.A",Atl NW / 21.0.A,Atl NW / 21.0.A,NA,NA,NA
21.1.A,NA,"Atlantic, Northwest / 21.1.A",NA,"Atlantic, Northwest / 21.1.A",Atl NW / 21.1.A,Atl NW / 21.1.A,NA,NA,NA
21.1.B,NA,"Atlantic, Northwest / 21.1.B",NA,"Atlantic, Northwest / 21.1.B",Atl NW / 21.1.B,Atl NW / 21.1.B,NA,NA,NA
21.0.B,NA,"Atlantic, Northwest / 21.0.B",NA,"Atlantic, Northwest / 21.0.B",Atl NW / 21.0.B,Atl NW / 21.0.B,NA,NA,NA
21.1.C,NA,"Atlantic, Northwest / 21.1.C",NA,"Atlantic, Northwest / 21.1.C",Atl NW / 21.1.C,Atl NW / 21.1.C,NA,NA,NA
21.4.W,NA,"Atlantic, Northwest / 21.4.W",NA,"Atlantic, Northwest / 21.4.W",Atl NW / 21.4.W,Atl NW / 21.4.W,NA,NA,NA
21.4.S,NA,"Atlantic, Northwest / 21.4.S",NA,"Atlantic, Northwest / 21.4.S",Atl NW / 21.4.S,Atl NW / 21.4.S,NA,NA,NA
21.3.K,NA,"Atlantic, Northwest / 21.3.K",NA,"Atlantic, Northwest / 21.3.K",Atl NW / 21.3.K,Atl NW / 21.3.K,NA,NA,NA
21.2.J,NA,"Atlantic, Northwest / 21.2.J",NA,"Atlantic, Northwest / 21.2.J",Atl NW / 21.2.J,Atl NW / 21.2.J,NA,NA,NA
21.6.A,NA,"Atlantic, Northwest / 21.6.A",NA,"Atlantic, Northwest / 21.6.A",Atl NW / 21.6.A,Atl NW / 21.6.A,NA,NA,NA
21.6.C,NA,"Atlantic, Northwest / 21.6.C",NA,"Atlantic, Northwest / 21.6.C",Atl NW / 21.6.C,Atl NW / 21.6.C,NA,NA,NA
21.4.R,NA,"Atlantic, Northwest / 21.4.R",NA,"Atlantic, Northwest / 21.4.R",Atl NW / 21.4.R,Atl NW / 21.4.R,NA,NA,NA
21.3.L,NA,"Atlantic, Northwest / 21.3.L",NA,"Atlantic, Northwest / 21.3.L",Atl NW / 21.3.L,Atl NW / 21.3.L,NA,NA,NA
21.3.P,NA,"Atlantic, Northwest / 21.3.P",NA,"Atlantic, Northwest / 21.3.P",Atl NW / 21.3.P,Atl NW / 21.3.P,NA,NA,NA
21.4.X,NA,"Atlantic, Northwest / 21.4.X",NA,"Atlantic, Northwest / 21.4.X",Atl NW / 21.4.X,Atl NW / 21.4.X,NA,NA,NA
21.5.Y,NA,"Atlantic, Northwest / 21.5.Y",NA,"Atlantic, Northwest / 21.5.Y",Atl NW / 21.5.Y,Atl NW / 21.5.Y,NA,NA,NA
21.4.T,NA,"Atlantic, Northwest / 21.4.T",NA,"Atlantic, Northwest / 21.4.T",Atl NW / 21.4.T,Atl NW / 21.4.T,NA,NA,NA
47.D.1,NA,SEAFO division D.1,NA,SEAFO division D.1,Division SEAFO D.1,División SEAFO D.1,NA,NA,NA
47.B.1,NA,SEAFO division B.1,NA,SEAFO division B.1,Division SEAFO B.1,División SEAFO B.1,NA,NA,NA
47.C.1,NA,SEAFO division C.1,NA,SEAFO division C.1,Division SEAFO C.1,División SEAFO C.1,NA,NA,NA
47.B.0,NA,SEAFO division B.0,NA,SEAFO division B.0,Division SEAFO B.0,División SEAFO B.0,NA,NA,NA
27.8.a,NA,Bay of Biscay - North (Division 27.8.a),NA,Bay of Biscay - North (Division 27.8.a),Golfe de Gascogne - Nord (Division 27.8.a),Golfo de Vizcaya - norte (División 27.8.a),NA,NA,NA
27.7.j,NA,Southwest of Ireland - East (Division 27.7.j),NA,Southwest of Ireland - East (Division 27.7.j),Sud-ouest de l'Irlande - Est (Division 27.7.j),Sudoeste de Irlanda - Este (División 27.7.j),NA,NA,NA
27.7.h,NA,Celtic Sea South (Division 27.7.h),NA,Celtic Sea South (Division 27.7.h),Mer Celtique du sud (Division 27.7.h),Mar Céltico sur (División 27.7.h),NA,NA,NA
27.7.f,NA,Bristol Channel (Division 27.7.f),NA,Bristol Channel (Division 27.7.f),Canal de Bristol (Division 27.7.f),Canal de Bristol (División 27.7.f),NA,NA,NA
27.7.g,NA,Celtic Sea North (Division 27.7.g),NA,Celtic Sea North (Division 27.7.g),Mer Celtique du nord (Division 27.7.g),Mar Céltico norte (División 27.7.g),NA,NA,NA
27.12.c,NA,Central Northeast Atlantic - South (Division 27.12.c),NA,Central Northeast Atlantic - South (Division 27.12.c),Nord des Açores (Division 27.12.c),Norte de las Azores (División 27.12.c),NA,NA,NA
27.7.k,NA,Southwest of Ireland - West (Division 27.7.k),NA,Southwest of Ireland - West (Division 27.7.k),Sud-ouest de l'Irlande - Ouest (Division 27.7.k),Sudoeste de Irlanda - Oeste (División 27.7.k),NA,NA,NA
