code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
21.5.Z.w,NA,"Atlantic, Northwest / 21.5.Z.w",NA,"Atlantic, Northwest / 21.5.Z.w",Atl NW / 21.5.Z.w,Atl NW / 21.5.Z.w,NA,NA,NA
21.4.5.n,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.3.P.s,NA,"Atlantic, Northwest / 21.3.P.s",NA,"Atlantic, Northwest / 21.3.P.s",Atl NW / 21.3.P.s,Atl NW / 21.3.P.s,NA,NA,NA
21.3.P.n,NA,"Atlantic, Northwest / 21.3.P.n",NA,"Atlantic, Northwest / 21.3.P.n",Atl NW / 21.3.P.n,Atl NW / 21.3.P.n,NA,NA,NA
27.8.d.2,NA,Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2),NA,Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2),Golfe de Gascogne - Large - Partie de non-CPANE (Sous-division 27.8.d.2),Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2),NA,NA,NA
27.7.j.1,NA,Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1),NA,Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1),Sud-ouest de l'Irlande - Est - Partie de CPANE (Sous-division 27.7.j.1),Sudoeste de Irlanda - Este - Parte de CPANE (Subdivisión 27.7.j.1),NA,NA,NA
27.7.k.1,NA,Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1),NA,Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1),Sud-ouest de l'Irlande - Ouest - Partie de CPANE (Sous-division 27.7.k.1),Sudoeste de Irlanda - Oeste - Parte de CPANE (Subdivisión 27.7.k.1),NA,NA,NA
27.7.k.2,NA,Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2),NA,Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2),Sud-ouest de l'Irlande - Ouest - Partie de non-CPANE (Sous-division 27.7.k.2),Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2),NA,NA,NA
27.7.j.2,NA,Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2),NA,Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2),Sud-ouest de l'Irlande - Est - Partie de non-CPANE (Sous-division 27.7.j.2),Sudoeste de Irlanda - Este Non-CPANE (Subdivisión 27.7.j.2),NA,NA,NA
27.7.c.1,NA,Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1),NA,Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1),Banc de Porcupine - CPANE (Sous-division 27.7.c.1),Porcupine Bank - CPANE (Subdivisión 27.7.c.1),NA,NA,NA
27.7.c.2,NA,Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2),NA,Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2),Banc de Porcupine - non-CPANE (Sous-division 27.7.c.2),Porcupine Bank Non-CPANE (Subdivisión 27.7.c.2),NA,NA,NA
27.3.d.24,NA,Baltic West of Bornholm (Subdivision 27.3.d.24),NA,Baltic West of Bornholm (Subdivision 27.3.d.24),"Baltique, ouest de Bornholm (Sous-division 27.3.d.24)",Báltico al oeste de Bornholm (Subdivisión 27.3.d.24),NA,NA,NA
27.3.b.23,NA,Sound (Subdivision 27.3.b.23),NA,Sound (Subdivision 27.3.b.23),Øresund (Sous-division 27.3.b.23),Sund (Subdivisión 27.3.b.23),NA,NA,NA
27.3.d.26,NA,Southern Central Baltic - East (Subdivision 27.3.d.26),NA,Southern Central Baltic - East (Subdivision 27.3.d.26),Baltique centre-sud - Est (Sous-division 27.3.d.26),Báltico centro-meridional - Este (Subdivisión 27.3.d.26),NA,NA,NA
27.6.b.1,NA,Rockall - Part of NEAFC area I (Subdivision 27.6.b.1),NA,Rockall - Part of NEAFC area I (Subdivision 27.6.b.1),Rockall - Partie de CPANE (Sous-division 27.6.b.1),Rockall - Parte de CPANE (Subdivisión 27.6.b.1),NA,NA,NA
27.6.b.2,NA,Rockall Non-NEAFC area (Subdivision 27.6.b.2),NA,Rockall Non-NEAFC area (Subdivision 27.6.b.2),Rockall - Partie de non-CPANE (Sous-division 27.6.b.2),Rockall Non-CPANE (Subdivisión 27.6.b.2),NA,NA,NA
27.5.b.1,NA,Faroe Plateau (Subdivision 27.5.b.1),NA,Faroe Plateau (Subdivision 27.5.b.1),Plateau des Féroé (Sous-division 27.5.b.1),Planicie de las Feroe (Subdivisión 27.5.b.1),NA,NA,NA
27.12.a.1,NA,Subdivision 27.12.a.1 - NEAFC Regulatory Area,NA,Subdivision 27.12.a.1 - NEAFC Regulatory Area,Subdivision 27.12.a.1 - CPANE,Subdivisión 27.12.a.1 - CPANE,NA,NA,NA
27.12.a.4,NA,Subdivision 27.12.a.4 Non-NEAFC Regulatory Area,NA,Subdivision 27.12.a.4 Non-NEAFC Regulatory Area,Subdivision 27.12.a.4  non-CPANE,Subdivisión 27.12.a.4 - Non-CPANE,NA,NA,NA
27.5.a.1,NA,Northern Reykjanes Ridge (Subdivision 27.5.a.1),NA,Northern Reykjanes Ridge (Subdivision 27.5.a.1),Fonds de l'Islande (Sous-division 27.5.a.1),Fondos de Islandia (Subdivisión 27.5.a.1),NA,NA,NA
27.14.b.1,NA,Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1),NA,Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1),Groenland sud-est - Partie de CPANE (Sous-division 27.14.b.1),Groenlandia sudoriental - Partes de CPANE (Subdivisión 27.14.b.1),NA,NA,NA
27.5.a.2,NA,Icelandic Shelf (Subdivision 27.5.a.2),NA,Icelandic Shelf (Subdivision 27.5.a.2),Fonds de l'Islande (Sous-division 27.5.a.2),Fondos de Islandia (Subdivisión 27.5.a.2),NA,NA,NA
27.14.b.2,NA,Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2),NA,Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2),Groenland sud-est - Partie de non-CPANE (Sous-division 27.14.b.2),Groenlandia sudoriental Non-CPANE (Subdivisión 27.14.b.2),NA,NA,NA
27.2.a.1,NA,Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1),NA,Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1),Mer de Norvège - CPANE (Division 27.2.a.1),Mar de Noruega - CPANE (División 27.2.a.1),NA,NA,NA
27.2.b.1,NA,Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1),NA,Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1),Spitzberg et île aux Ours - CPANE (Division 27.2.b.1),Spitzbergen e Islas Osos - CPANE (División 27.2.b.1),NA,NA,NA
27.2.b.2,NA,Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2),NA,Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2),Spitzberg et île aux Ours - non-CPANE (Division 27.2.b.2),Spitzbergen e Islas Osos Non-CPANE (División 27.2.b.2),NA,NA,NA
27.8.e.2,NA,West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2),NA,West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2),Ouest du golfe de Gascogne - Partie de non-CPANE (Sous-division 27.8.e.2),Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2),NA,NA,NA
27.5.b.2,NA,Faroe Bank (Subdivision 27.5.b.2),NA,Faroe Bank (Subdivision 27.5.b.2),Banc des Féroé (Sous-division 27.5.b.2),Banco de las Feroe (Subdivisión 27.5.b.2),NA,NA,NA
27.12.a.3,NA,Subdivision 27.12.a.3 Non-NEAFC Regulatory Area,NA,Subdivision 27.12.a.3 Non-NEAFC Regulatory Area,Subdivision 27.12.a.3 non-CPANE,Subdivisión 27.12.a.3 - Non-CPANE,NA,NA,NA
27.12.a.2,NA,Subdivision 27.12.a.2 - NEAFC Regulatory Area,NA,Subdivision 27.12.a.2 - NEAFC Regulatory Area,Subdivision 27.12.a.2 - CPANE,Subdivisión 27.12.a.2 - CPANE,NA,NA,NA
27.2.a.2,NA,Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2),NA,Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2),Mer de Norvège - non-CPANE (Division 27.2.a.2),Mar de Noruega Non-CPANE (División 27.2.a.2),NA,NA,NA
27.3.c.22,NA,Belt Sea (Subdivision 27.3.c.22),NA,Belt Sea (Subdivision 27.3.c.22),Mer des Belts (Sous-division 27.3.c.22),Mar de Belt (Subdivisión 27.3.c.22),NA,NA,NA
27.3.d.27,NA,West of Gotland (Subdivision 27.3.d.27),NA,West of Gotland (Subdivision 27.3.d.27),Ouest de Gotland (Sous-division 27.3.d.27),Oeste de Gotland (Subdivisión 27.3.d.27),NA,NA,NA
27.3.d.28,NA,East of Gotland or Gulf of Riga (Subdivision 27.3.d.28),NA,East of Gotland or Gulf of Riga (Subdivision 27.3.d.28),Est de Gotland ou Golfe de Riga (Sous-division 27.3.d.28),Este de Gotland o Golfo de Riga (Subdivisión 27.3.d.28),NA,NA,NA
27.3.d.29,NA,Archipelago Sea (Subdivision 27.3.d.29),NA,Archipelago Sea (Subdivision 27.3.d.29),Mer de l'Archipel (Sous-division 27.3.d.29),Mar Archipiélago (Subdivisión 27.3.d.29),NA,NA,NA
27.3.d.32,NA,Gulf of Finland (Subdivision 27.3.d.32),NA,Gulf of Finland (Subdivision 27.3.d.32),Golfe de Finlande (Sous-division 27.3.d.32),Golfo de Finlandia (Subdivisión 27.3.d.32),NA,NA,NA
27.3.d.30,NA,Bothnian Sea (Subdivision 27.3.d.30),NA,Bothnian Sea (Subdivision 27.3.d.30),Baie de Botnie méridionale (Sous-division 27.3.d.30),Golfo de Botnia meridional (Subdivisión 27.3.d.30),NA,NA,NA
27.3.d.31,NA,Bothnian Bay (Subdivision 27.3.d.31),NA,Bothnian Bay (Subdivision 27.3.d.31),Baie de Botnie septentrionale (Sous-division 27.3.d.31),Golfo de Botnia meridional (Subdivisión 27.3.d.31),NA,NA,NA
27.3.d.25,NA,Southern Central Baltic - West (Subdivision 27.3.d.25),NA,Southern Central Baltic - West (Subdivision 27.3.d.25),Baltique centre-sud - Ouest (Sous-division 27.3.d.25),Báltico centro-meridional - Oeste (Subdivisión 27.3.d.25),NA,NA,NA
27.3.a.21,NA,Kattegat (Subdivision 27.3.a.21),NA,Kattegat (Subdivision 27.3.a.21),Kattegat (Subdivision 27.3.a.21),Kattegat (Subdivisión 27.3.a.21),NA,NA,NA
27.3.a.20,NA,Skagerrak (Subdivision 27.3.a.20),NA,Skagerrak (Subdivision 27.3.a.20),Skagerrak (Subdivision 27.3.a.20),Skagerrak (Subdivisión 27.3.a.20),NA,NA,NA
21.5.Z.u,NA,"Atlantic, Northwest / 21.5.Z.u",NA,"Atlantic, Northwest / 21.5.Z.u",Atl NW / 21.5.Z.u,Atl NW / 21.5.Z.u,NA,NA,NA
21.5.Z.c,NA,"Atlantic, Northwest / 21.5.Z.c",NA,"Atlantic, Northwest / 21.5.Z.c",Atl NW / 21.5.Z.c,Atl NW / 21.5.Z.c,NA,NA,NA
27.5.b.1.a,NA,Faroe Plateau - Part of NEAFC Regulatory Area (Unit 27.5.b.1.a),NA,Faroe Plateau - Part of NEAFC Regulatory Area (Unit 27.5.b.1.a),Plateau des Féroé - Partie de CPANE (Unité 27.5.b.1.a),Planicie de las Feroe - Parte de CPANE (Unidad 27.5.b.1.a),NA,NA,NA
27.5.b.1.b,NA,Faroe Plateau - Part of Non-NEAFC Regulatory Area (Unit 27.5.b.1.b),NA,Faroe Plateau - Part of Non-NEAFC Regulatory Area (Unit 27.5.b.1.b),Plateau des Féroé - Partie de non-CPANE (Unité 27.5.b.1.b),Planicie de las Feroe Non-CPANE (Unidad 27.5.b.1.b),NA,NA,NA
27.3.d.28.2,NA,East of Gotland (Open Sea) (Unit 27.3.d.28.2),NA,East of Gotland (Open Sea) (Unit 27.3.d.28.2),Est de Gotland (Haute mer) (Unité 27.3.d.28.2),Este de Gotland (Mar abierto) (Unidad 27.3.d.28.2),NA,NA,NA
27.3.d.28.1,NA,Gulf of Riga (Unit 27.3.d.28.1),NA,Gulf of Riga (Unit 27.3.d.28.1),Golfe de Riga (Unité 27.3.d.28.1),Golfo de Riga (Unidad 27.3.d.28.1),NA,NA,NA
