code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
inlandWaters,NA,Inland waters,NA,Inland waters,Eaux continentales,Aguas continentales,المياه الداخلية,内陆水域,внутренние воды
marineAreas,NA,Marine areas,NA,Marine areas,Zones maritimes,Áreas marítimas,المناطق البحرية,海域,Морские районы
