code,uri,label,definition,name_en,name_fr,name_es,name_ar,name_cn,name_ru,isscaap_group_code,taxon_scientific_name,taxon_code,taxon_author,taxon_family,taxon_order
GXM,,Siamese algae-eater,Gyrinocheilus aymonieri,Siamese algae-eater,,,,,,11,Gyrinocheilus aymonieri,140001101001,(Tirant 1883),GYRINOCHEILIDAE,CYPRINIFORMES
CDO,,River carpsucker,Carpiodes carpio,River carpsucker,,,,,,11,Carpiodes carpio,140002101001,(Rafinesque 1820),CATOSTOMIDAE,CYPRINIFORMES
ATC,,Longnose sucker,Catostomus catostomus,Longnose sucker,,,,,,11,Catostomus catostomus,140002101801,(Forster 1773),CATOSTOMIDAE,CYPRINIFORMES
ATO,,White sucker,Catostomus commersonii,White sucker,,,,,,11,Catostomus commersonii,140002101802,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
ATS,,Flannelmouth sucker,Catostomus latipinnis,Flannelmouth sucker,,,,,,11,Catostomus latipinnis,140002101803,Baird & Girard 1853,CATOSTOMIDAE,CYPRINIFORMES
ATU,,Largescale sucker,Catostomus macrocheilus,Largescale sucker,,,,,,11,Catostomus macrocheilus,140002101804,Girard 1856,CATOSTOMIDAE,CYPRINIFORMES
ATE,,Tahoe sucker,Catostomus tahoensis,Tahoe sucker,,,,,,11,Catostomus tahoensis,140002101805,Gill & Jordan 1878,CATOSTOMIDAE,CYPRINIFORMES
ATJ,,Cui-ui,Chasmistes cujus,Cui-ui,,,,,,11,Chasmistes cujus,140002102201,Cope 1883,CATOSTOMIDAE,CYPRINIFORMES
YCL,,Blue sucker,Cycleptus elongatus,Blue sucker,,,,,,11,Cycleptus elongatus,140002102601,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
DEU,,Lost River sucker,Deltistes luxatus,Lost River sucker,,,,,,11,Deltistes luxatus,140002103001,(Cope 1879),CATOSTOMIDAE,CYPRINIFORMES
ERU,,Lake chubsucker,Erimyzon sucetta,Lake chubsucker,,,,,,11,Erimyzon sucetta,140002103401,(Lacépède 1803),CATOSTOMIDAE,CYPRINIFORMES
HYN,,Northern hog sucker,Hypentelium nigricans,Northern hog sucker,,,,,,11,Hypentelium nigricans,140002103801,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
BUB,,Bigmouth buffalo,Ictiobus cyprinellus,Bigmouth buffalo,Poisson-taureau,,,大口胭脂鱼,,11,Ictiobus cyprinellus,140002104201,(Valenciennes 1844),CATOSTOMIDAE,CYPRINIFORMES
BUF,,Buffalofishes NEI,Ictiobus spp,Buffalofishes NEI,Poissons-taureaux NCA,,,,Буффало,11,Ictiobus spp,1400021042XX,,CATOSTOMIDAE,CYPRINIFORMES
MIM,,Spotted sucker,Minytrema melanops,Spotted sucker,,,,,,11,Minytrema melanops,140002104601,(Rafinesque 1820),CATOSTOMIDAE,CYPRINIFORMES
MOG,,Gray redhorse,Moxostoma congestum,Gray redhorse,,,,,,11,Moxostoma congestum,140002105001,(Baird & Girard 1854),CATOSTOMIDAE,CYPRINIFORMES
MOE,,Golden redhorse,Moxostoma erythrurum,Golden redhorse,,,,,,11,Moxostoma erythrurum,140002105002,(Rafinesque 1818),CATOSTOMIDAE,CYPRINIFORMES
LAL,,Harelip sucker,Moxostoma lacerum,Harelip sucker,,,,,,11,Moxostoma lacerum,140002105003,(Jordan & Brayton 1877),CATOSTOMIDAE,CYPRINIFORMES
MOM,,Shorthead redhorse,Moxostoma macrolepidotum,Shorthead redhorse,,,,,,11,Moxostoma macrolepidotum,140002105004,(Lesueur 1817),CATOSTOMIDAE,CYPRINIFORMES
MXS,,Chinese sucker,Myxocyprinus asiaticus,Chinese sucker,,,,胭脂鱼,,11,Myxocyprinus asiaticus,140002105401,(Bleeker 1865),CATOSTOMIDAE,CYPRINIFORMES
XYT,,Razorback sucker,Xyrauchen texanus,Razorback sucker,,,,,,11,Xyrauchen texanus,140002105801,(Abbott 1861),CATOSTOMIDAE,CYPRINIFORMES
CTM,,Suckers NEI,Catostomidae,Suckers NEI,Cyprins sucets NCA,Chupadores NEP,,,,11,Catostomidae,1400021XXXXX,,CATOSTOMIDAE,CYPRINIFORMES
BOD,,Bengal loach,Botia dario,Bengal loach,,,,孟加拉沙鳅,,11,Botia dario,140003101001,(Hamilton 1822),BOTIIDAE,CYPRINIFORMES
BWX,,,Botia spp,,,,,,,11,Botia spp,1400031010XX,,BOTIIDAE,CYPRINIFORMES
BMW,,Clown loach,Chromobotia macracanthus,Clown loach,,,,,,11,Chromobotia macracanthus,140003101401,(Bleeker 1852),BOTIIDAE,CYPRINIFORMES
LEU,,,Parabotia curtus,,,,,,,11,Parabotia curtus,140003101801,(Temminck & Schlegel 1846),BOTIIDAE,CYPRINIFORMES
BOH,,Tiger loach,Syncrossus hymenophysa,Tiger loach,,,,横带沙鳅,,11,Syncrossus hymenophysa,140003102201,(Bleeker 1852),BOTIIDAE,CYPRINIFORMES
YHM,,Redtail botia,Yasuhikotakia modesta,Redtail botia,,,,橙鳍沙鳅,,11,Yasuhikotakia modesta,140003102601,(Bleeker 1864),BOTIIDAE,CYPRINIFORMES
VAI,,,Vaillantella cinnamomea,,,,,,,11,Vaillantella cinnamomea,140004101001,Kottelat 1994,VAILLANTELLIDAE,CYPRINIFORMES
HPD,,,Acanthopsoides delphax,,,,,,,11,Acanthopsoides delphax,140005101001,Siebert 1991,COBITIDAE,CYPRINIFORMES
TPC,,Horseface loach,Acantopsis dialuzona,Horseface loach,,,,,,11,Acantopsis dialuzona,140005101401,van Hasselt 1823,COBITIDAE,CYPRINIFORMES
SOG,,,Canthophrys gongota,,,,,,,11,Canthophrys gongota,140005101801,(Hamilton 1822),COBITIDAE,CYPRINIFORMES
BIW,,,Cobitis biwae,,,,,,,11,Cobitis biwae,140005102201,Jordan & Snyder 1901,COBITIDAE,CYPRINIFORMES
IKC,,Choi's spiny loach,Cobitis choii,Choi's spiny loach,,,,,,11,Cobitis choii,140005102202,Kim & Son 1984,COBITIDAE,CYPRINIFORMES
NWD,,,Cobitis delicata,,,,,,,11,Cobitis delicata,140005102203,Niwa 1937,COBITIDAE,CYPRINIFORMES
BIM,,,Cobitis maroccana,,,,,,,11,Cobitis maroccana,140005102204,Pellegrin 1929,COBITIDAE,CYPRINIFORMES
BIO,,,Cobitis melanoleuca,,,,,,,11,Cobitis melanoleuca,140005102205,Nichols 1925,COBITIDAE,CYPRINIFORMES
FNW,,Southern Iberian spined loach,Cobitis paludica,Southern Iberian spined loach,,Raboseta,,,,11,Cobitis paludica,140005102206,(de Buen 1930),COBITIDAE,CYPRINIFORMES
BIT,,Spined loach,Cobitis taenia,Spined loach,Loche de rivière,,,,,11,Cobitis taenia,140005102207,Ikeda 1936,COBITIDAE,CYPRINIFORMES
LED,,,Lepidocephalichthys annandalei,,,,,,,11,Lepidocephalichthys annandalei,140005102601,Chaudhuri 1912,COBITIDAE,CYPRINIFORMES
LEG,,Guntea loach,Lepidocephalichthys guntea,Guntea loach,,,,,,11,Lepidocephalichthys guntea,140005102602,(Hamilton 1822),COBITIDAE,CYPRINIFORMES
LEI,,,Lepidocephalichthys thermalis,,,,,,,11,Lepidocephalichthys thermalis,140005102603,(Valenciennes 1846),COBITIDAE,CYPRINIFORMES
KUR,,Pond loach,Misgurnus anguillicaudatus,Pond loach,Loche asiatique,Misgurno de Asia,,泥鳅,Вьюн восточный,11,Misgurnus anguillicaudatus,140005103001,(Cantor 1842),COBITIDAE,CYPRINIFORMES
PAD,,,Misgurnus dabryanus,,,,,大鳞副泥鳅,,11,Misgurnus dabryanus,140005103002,(Dabry de Thiersant 1872),COBITIDAE,CYPRINIFORMES
MWT,,Weatherfish,Misgurnus fossilis,Weatherfish,Loche d'étang,Misgurno,,纵带泥鳅,Вьюн обыкновенный,11,Misgurnus fossilis,140005103003,(Linnaeus 1758),COBITIDAE,CYPRINIFORMES
ZMM,,Chinese muddy loach,Misgurnus mizolepis,Chinese muddy loach,,,,大鱗泥鰍,,11,Misgurnus mizolepis,140005103004,Günther 1888,COBITIDAE,CYPRINIFORMES
NUM,,,Neoeucirrhichthys maydelli,,,,,,,11,Neoeucirrhichthys maydelli,140005103401,Banarescu & Nalbant 1968,COBITIDAE,CYPRINIFORMES
NAG,,,Pangio agma,,,,,,,11,Pangio agma,140005103801,(Burridge 1992),COBITIDAE,CYPRINIFORMES
BIA,,Golden spined loach,Sabanejewia aurata,Golden spined loach,,,,,,11,Sabanejewia aurata,140005104201,(De Filippi 1863),COBITIDAE,CYPRINIFORMES
SAK,,,Sabanejewia balcanica,,,,,,,11,Sabanejewia balcanica,140005104202,(Karaman 1922),COBITIDAE,CYPRINIFORMES
BTD,,,Barbucca diabolica,,,,,,,11,Barbucca diabolica,140006101001,Roberts 1989,BARBUCCIDAE,CYPRINIFORMES
ANO,,,Annamia normani,,,,,,,11,Annamia normani,140007101001,(Hora 1931),GASTROMYZONTIDAE,CYPRINIFORMES
HYE,,,Engkaria eubranchus,,,,,,,11,Engkaria eubranchus,140007101401,(Roberts 1991),GASTROMYZONTIDAE,CYPRINIFORMES
CML,,,Formosania lacustris,,,,,,,11,Formosania lacustris,140007101801,(Steindachner 1908),GASTROMYZONTIDAE,CYPRINIFORMES
GSB,,,Gastromyzon borneensis,,,,,,,11,Gastromyzon borneensis,140007102201,Günther 1874,GASTROMYZONTIDAE,CYPRINIFORMES
GLE,,,Glaniopsis denudata,,,,,,,11,Glaniopsis denudata,140007102601,Roberts 1982,GASTROMYZONTIDAE,CYPRINIFORMES
NEU,,,Neogastromyzon nieuwenhuisii,,,,,,,11,Neogastromyzon nieuwenhuisii,140007103001,Popta 1905,GASTROMYZONTIDAE,CYPRINIFORMES
PAK,,,Parhomaloptera microstoma,,,,,,,11,Parhomaloptera microstoma,140007103401,(Boulenger 1899),GASTROMYZONTIDAE,CYPRINIFORMES
PYH,,,Protomyzon aphelocheilus,,,,,,,11,Protomyzon aphelocheilus,140007103801,Inger & Chin 1962,GASTROMYZONTIDAE,CYPRINIFORMES
SWL,,,Sewellia lineolata,,,,,,,11,Sewellia lineolata,140007104201,(Valenciennes 1846),GASTROMYZONTIDAE,CYPRINIFORMES
BTA,,,Balitora annamitica,,,,,,,11,Balitora annamitica,140009101001,Kottelat 1988,BALITORIDAE,CYPRINIFORMES
BHS,,,Bhavania australis,,,,,,,11,Bhavania australis,140009101401,(Jerdon 1849),BALITORIDAE,CYPRINIFORMES
HMO,,,Hemimyzon formosanus,,,,,,,11,Hemimyzon formosanus,140009101801,(Boulenger 1894),BALITORIDAE,CYPRINIFORMES
HOI,,,Homaloptera bilineata,,,,,,,11,Homaloptera bilineata,140009102201,Blyth 1860,BALITORIDAE,CYPRINIFORMES
HQX,,,Homaloptera spp,,,,,,,11,Homaloptera spp,1400091022XX,,BALITORIDAE,CYPRINIFORMES
NEJ,,,Neohomaloptera johorensis,,,,,,,11,Neohomaloptera johorensis,140009102601,(Herre 1944),BALITORIDAE,CYPRINIFORMES
SZL,,,Sinogastromyzon puliensis,,,,,,,11,Sinogastromyzon puliensis,140009103001,Liang 1974,BALITORIDAE,CYPRINIFORMES
TVJ,,,Travancoria jonesi,,,,,,,11,Travancoria jonesi,140009103401,Hora 1941,BALITORIDAE,CYPRINIFORMES
ELL,,,Ellopostoma megalomycter,,,,,,,11,Ellopostoma megalomycter,140010101001,(Vaillant 1902),ELLOPOSTOMATIDAE,CYPRINIFORMES
ABE,,,Aborichthys elongatus,,,,,,,11,Aborichthys elongatus,140011101001,Hora 1921,NEMACHEILIDAE,CYPRINIFORMES
NEY,,,Afronemacheilus abyssinicus,,,,,,,11,Afronemacheilus abyssinicus,140011101401,(Boulenger 1902),NEMACHEILIDAE,CYPRINIFORMES
BTB,,Stone loach,Barbatula barbatula,Stone loach,Loche franche,,,,,11,Barbatula barbatula,140011101801,(Linnaeus 1758),NEMACHEILIDAE,CYPRINIFORMES
YUA,,,Eonemachilus altus,,,,,,,11,Eonemachilus altus,140011102201,(Kottelat & Chu 1988),NEMACHEILIDAE,CYPRINIFORMES
INE,,,Indoreonectes evezardi,,,,,,,11,Indoreonectes evezardi,140011102601,(Day 1872),NEMACHEILIDAE,CYPRINIFORMES
LEH,,,Lefua echigonia,,,,,,,11,Lefua echigonia,140011103001,Jordan & Richardson 1907,NEMACHEILIDAE,CYPRINIFORMES
MIU,,,Micronemacheilus cruciatus,,,,,,,11,Micronemacheilus cruciatus,140011103401,(Rendahl 1944),NEMACHEILIDAE,CYPRINIFORMES
NEE,,,Neonoemacheilus labeosus,,,,,,,11,Neonoemacheilus labeosus,140011103801,(Kottelat 1982),NEMACHEILIDAE,CYPRINIFORMES
ONO,,,Oreonectes anophthalmus,,,,,,,11,Oreonectes anophthalmus,140011104201,Zheng 1981,NEMACHEILIDAE,CYPRINIFORMES
OTP,,,Oxynoemacheilus panthera,,,,,,,11,Oxynoemacheilus panthera,140011104601,(Heckel 1843),NEMACHEILIDAE,CYPRINIFORMES
BTO,,Mottled loach,Paracanthocobitis botia,Mottled loach,,,,,,11,Paracanthocobitis botia,140011105001,(Hamilton 1822),NEMACHEILIDAE,CYPRINIFORMES
TGT,,,Paracobitis starostini,,,,,,,11,Paracobitis starostini,140011105401,(Parin 1983),NEMACHEILIDAE,CYPRINIFORMES
PHV,,,Physoschistura brunneana,,,,,,,11,Physoschistura brunneana,140011105801,(Annandale 1918),NEMACHEILIDAE,CYPRINIFORMES
SUH,,,Schistura balteata,,,,,,,11,Schistura balteata,140011106201,(Rendahl 1948),NEMACHEILIDAE,CYPRINIFORMES
NMD,,,Schistura denisoni,,,,,,,11,Schistura denisoni,140011106202,(Day 1867),NEMACHEILIDAE,CYPRINIFORMES
SRC,,,Sectoria atriceps,,,,,,,11,Sectoria atriceps,140011106601,(Smith 1945),NEMACHEILIDAE,CYPRINIFORMES
SUI,,,Speonectes tiomanensis,,,,,,,11,Speonectes tiomanensis,140011107001,(Kottelat 1990),NEMACHEILIDAE,CYPRINIFORMES
SYD,,,Sphaerophysa dianchiensis,,,,,,,11,Sphaerophysa dianchiensis,140011107401,Cao & Zhu 1988,NEMACHEILIDAE,CYPRINIFORMES
TYC,,,Triplophysa choprai,,,,,,,11,Triplophysa choprai,140011107801,(Hora 1934),NEMACHEILIDAE,CYPRINIFORMES
TUA,,,Tuberoschistura cambodgiensis,,,,,,,11,Tuberoschistura cambodgiensis,140011108201,Kottelat 1990,NEMACHEILIDAE,CYPRINIFORMES
PSI,,,Psilorhynchus sucatio,,,,,,,11,Psilorhynchus sucatio,140013101001,(Hamilton 1822),PSILORHYNCHIDAE,CYPRINIFORMES
AAX,,,Aaptosyax grypus,,,,,,,11,Aaptosyax grypus,140014101001,Rainboth 1991,CYPRINIDAE,CYPRINIFORMES
ATA,,,Acapoeta tanganicae,,,,,,,11,Acapoeta tanganicae,140014101401,(Boulenger 1900),CYPRINIDAE,CYPRINIFORMES
ABA,,,Albulichthys albuloides,,,,,,,11,Albulichthys albuloides,140014101801,(Bleeker 1855),CYPRINIDAE,CYPRINIFORMES
DDT,,,Altigena yunnanensis,,,,,云南华鲮,,11,Altigena yunnanensis,140014102201,(Wu & Lin 1977),CYPRINIDAE,CYPRINIFORMES
ABT,,,Amblyrhynchichthys truncatus,,,,,,,11,Amblyrhynchichthys truncatus,140014102601,(Bleeker 1851),CYPRINIDAE,CYPRINIFORMES
YHU,,Big-head schizothoracin,Aspiorhynchus laticeps,Big-head schizothoracin,,,,扁吻鱼,,11,Aspiorhynchus laticeps,140014103001,(Day 1877),CYPRINIDAE,CYPRINIFORMES
AUH,,Dalmatian barbelgudgeon,Aulopyge huegelii,Dalmatian barbelgudgeon,,,,,,11,Aulopyge huegelii,140014103401,Heckel 1843,CYPRINIDAE,CYPRINIFORMES
BNB,,Tricolor sharkminnow,Balantiocheilos melanopterus,Tricolor sharkminnow,,,,,,11,Balantiocheilos melanopterus,140014103801,(Bleeker 1851),CYPRINIDAE,CYPRINIFORMES
LBD,,Kalabans,Bangana dero,Kalabans,,,,墨脱华鲮,,11,Bangana dero,140014104201,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
BRN,,,Barbichthys laevis,,,,,,,11,Barbichthys laevis,140014104601,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
PUI,,Spotted barb,Barbodes binotatus,Spotted barb,,,,,,11,Barbodes binotatus,140014105001,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
PHH,,,Barbodes pachycheilus,,,,,,,11,Barbodes pachycheilus,140014105002,(Herre 1924),CYPRINIDAE,CYPRINIFORMES
OUP,,,Barbodes palaemophagus,,,,,,,11,Barbodes palaemophagus,140014105003,(Herre 1924),CYPRINIDAE,CYPRINIFORMES
SIT,,,Barbodes palata,,,,,,,11,Barbodes palata,140014105004,Herre 1924,CYPRINIDAE,CYPRINIFORMES
MDE,,,Barbodes resinus,,,,,,,11,Barbodes resinus,140014105005,(Herre 1924),CYPRINIDAE,CYPRINIFORMES
FHF,,Chinese barb,Barbodes semifasciolatus,Chinese barb,,,,,,11,Barbodes semifasciolatus,140014105006,(Günther 1868),CYPRINIDAE,CYPRINIFORMES
BBC,,,Barboides gracilis,,,,,,,11,Barboides gracilis,140014105401,Brüning 1929,CYPRINIDAE,CYPRINIFORMES
BBA,,Red tailed tinfoil,Barbonymus altus,Red tailed tinfoil,,,,,,11,Barbonymus altus,140014105801,(Günther 1868),CYPRINIDAE,CYPRINIFORMES
BBR,,,Barbonymus balleroides,,,,,,,11,Barbonymus balleroides,140014105802,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
PTG,,Silver barb,Barbonymus gonionotus,Silver barb,Barbeau argenté,Barbo plateado,,银无须魮,Барбус яванский,11,Barbonymus gonionotus,140014105803,(Bleeker 1850),CYPRINIDAE,CYPRINIFORMES
BBT,,,Barbonymus platysoma,,,,,,,11,Barbonymus platysoma,140014105804,(Bleeker 1855),CYPRINIDAE,CYPRINIFORMES
BFS,,Tinfoil barb,Barbonymus schwanefeldii,Tinfoil barb,,,,施瓦氏四须魮,Барбус лещевидный,11,Barbonymus schwanefeldii,140014105805,(Bleeker 1854),CYPRINIDAE,CYPRINIFORMES
BBV,,Somalian blind barb,Barbopsis devecchii,Somalian blind barb,,,,,,11,Barbopsis devecchii,140014106201,di Caporiacco 1926,CYPRINIDAE,CYPRINIFORMES
PTB,,Barbel,Barbus barbus,Barbel,Barbeau fluviatile,Barbo común,,,,11,Barbus barbus,140014106601,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
BBZ,,,Barbus cyclolepis,,,,,,,11,Barbus cyclolepis,140014106602,Heckel 1837,CYPRINIDAE,CYPRINIFORMES
BUH,,,Barbus haasi,,,,,,,11,Barbus haasi,140014106603,Mertens 1925,CYPRINIDAE,CYPRINIFORMES
BUD,,Mediterranean barbel,Barbus meridionalis,Mediterranean barbel,,,,,,11,Barbus meridionalis,140014106604,Risso 1827,CYPRINIDAE,CYPRINIFORMES
BSJ,,,Barbus plebejus,,,,,,,11,Barbus plebejus,140014106605,Bonaparte 1839,CYPRINIDAE,CYPRINIFORMES
CUG,,Congo blind barb,Caecobarbus geertsii,Congo blind barb,,,,,,11,Caecobarbus geertsii,140014107001,Boulenger 1921,CYPRINIDAE,CYPRINIFORMES
YCB,,,Caecocypris basimi,,,,,,,11,Caecocypris basimi,140014107401,Banister & Bunni 1980,CYPRINIDAE,CYPRINIFORMES
OEC,,Seven khramulya,Capoeta capoeta,Seven khramulya,,,,,,11,Capoeta capoeta,140014107801,(Güldenstädt 1773),CYPRINIDAE,CYPRINIFORMES
OED,,,Capoeta damascina,,,,,,,11,Capoeta damascina,140014107802,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
BBQ,,,Carasobarbus canis,,,,,,,11,Carasobarbus canis,140014108201,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
LPK,,,Carasobarbus kosswigi,,,,,,,11,Carasobarbus kosswigi,140014108202,(Ladiges 1960),CYPRINIDAE,CYPRINIFORMES
OEN,,,Carassioides acuminatus,,,,,,,11,Carassioides acuminatus,140014108601,(Richardson 1846),CYPRINIDAE,CYPRINIFORMES
CGO,,Goldfish,Carassius auratus,Goldfish,Poisson rouge(=Cyprin doré),Pez rojo,,鲫,Карась  серебряный,11,Carassius auratus,140014109001,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
FCC,,Crucian carp,Carassius carassius,Crucian carp,Carassin(=Cyprin),Carpín,,黑鲫,Карась золотой,11,Carassius carassius,140014109002,(Linnaeus 1758),CYPRINIDAE,CYPRINIFORMES
IUV,,Japanese white crucian carp,Carassius cuvieri,Japanese white crucian carp,,,,日本白鲫,,11,Carassius cuvieri,140014109003,Temminck & Schlegel 1846,CYPRINIDAE,CYPRINIFORMES
CWG,,Prussian carp,Carassius gibelio,Prussian carp,Carassin argenté,,,银鲫,,11,Carassius gibelio,140014109004,(Bloch 1782),CYPRINIDAE,CYPRINIFORMES
WDX,,,Carassius spp,,,,,鲫类,,11,Carassius spp,1400141090XX,,CYPRINIDAE,CYPRINIFORMES
TCS,,Giant barb,Catlocarpio siamensis,Giant barb,,,,,,11,Catlocarpio siamensis,140014109401,Boulenger 1898,CYPRINIDAE,CYPRINIFORMES
GUH,,,Chagunius chagunio,,,,,,,11,Chagunius chagunio,140014109801,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
BBJ,,Clanwilliam yellowfish,Cheilobarbus capensis,Clanwilliam yellowfish,,,,,,11,Cheilobarbus capensis,140014110201,(Smith 1841),CYPRINIDAE,CYPRINIFORMES
RNR,,,Cirrhinus cirrhosus,,,,,,,11,Cirrhinus cirrhosus,140014110601,(Bloch 1795),CYPRINIDAE,CYPRINIFORMES
RNM,,Small scale mud carp,Cirrhinus microlepis,Small scale mud carp,,,,,Циррина ильная мелкочешуйчатая,11,Cirrhinus microlepis,140014110602,Sauvage 1878,CYPRINIDAE,CYPRINIFORMES
MUC,,Mud carp,Cirrhinus molitorella,Mud carp,Carpe de vase,Carpa de fango,شبّوط الوحل,鲮,Циррина ильная,11,Cirrhinus molitorella,140014110603,(Valenciennes 1844),CYPRINIDAE,CYPRINIFORMES
CMG,,Mrigal carp,Cirrhinus mrigala,Mrigal carp,,,,,Мригала (=мригаль),11,Cirrhinus mrigala,140014110604,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
RNE,,Reba carp,Cirrhinus reba,Reba carp,,,,,,11,Cirrhinus reba,140014110605,(Hamilton 1822),CYPRINIDAE,CYPRINIFORMES
PTL,,,Coptostomabarbus bellcrossi,,,,,,,11,Coptostomabarbus bellcrossi,140014111001,Poll 1969,CYPRINIDAE,CYPRINIFORMES
USC,,,Cosmochilus cardinalis,,,,,,,11,Cosmochilus cardinalis,140014111401,Chu & Roberts 1985,CYPRINIDAE,CYPRINIFORMES
YCA,,Beardless barb,Cyclocheilichthys apogon,Beardless barb,,,,,Барбус апогон,11,Cyclocheilichthys apogon,140014111801,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
YCQ,,,Cyclocheilichthys armatus,,,,,,,11,Cyclocheilichthys armatus,140014111803,(Valenciennes 1842),CYPRINIDAE,CYPRINIFORMES
YCD,,,Cyclocheilos enoplos,,,,,,,11,Cyclocheilos enoplos,140014112201,(Bleeker 1849),CYPRINIDAE,CYPRINIFORMES
YPW,,,Cyprinion watsoni,,,,,,,11,Cyprinion watsoni,140014113001,(Day 1872),CYPRINIDAE,CYPRINIFORMES
FCP,,Common carp,Cyprinus carpio,Common carp,Carpe commune,Carpa común,,鲤,Сазан(=карп),11,Cyprinus carpio,140014113401,Linnaeus 1758,CYPRINIDAE,CYPRINIFORMES
FIA,,,Cyprinus intha,,,,,,,11,Cyprinus intha,140014113402,Annandale 1918,CYPRINIDAE,CYPRINIFORMES
FPR,,Barbless carp,Cyprinus pellegrini,Barbless carp,,,,大头鲤,,11,Cyprinus pellegrini,140014113403,Tchang 1933,CYPRINIDAE,CYPRINIFORMES
PUU,,Arulius barb,Dawkinsia arulius,Arulius barb,,,,,,11,Dawkinsia arulius,140014113801,(Jerdon 1849),CYPRINIDAE,CYPRINIFORMES
PUM,,Blackspot barb,Dawkinsia filamentosa,Blackspot barb,,,,,,11,Dawkinsia filamentosa,140014113802,(Valenciennes 1844),CYPRINIDAE,CYPRINIFORMES
SND,,,Decorus decorus,,,,,,,11,Decorus decorus,140014114201,(Peters 1881),CYPRINIDAE,CYPRINIFORMES
DIL,,Scaly osman,Diptychus maculatus,Scaly osman,,,,,Осман чешуйчатый,11,Diptychus maculatus,140014114601,Steindachner 1866,CYPRINIDAE,CYPRINIFORMES
DII,,,Discherodontus ashmeadi,,,,,,,11,Discherodontus ashmeadi,140014115001,(Fowler 1937),CYPRINIDAE,CYPRINIFORMES
EIO,,,Eirmotus octozona,,,,,,,11,Eirmotus octozona,140014115401,Schultz 1959,CYPRINIDAE,CYPRINIFORMES
FWI,,Clipper barb,Enteromius callipterus,Clipper barb,,,,,,11,Enteromius callipterus,140014115801,(Boulenger 1907),CYPRINIDAE,CYPRINIFORMES
BUO,,Spotscale barb,Enteromius holotaenia,Spotscale barb,,,,,,11,Enteromius holotaenia,140014115802,(Boulenger 1904),CYPRINIDAE,CYPRINIFORMES
BUL,,Line-spotted barb,Enteromius lineomaculatus,Line-spotted barb,,,,,,11,Enteromius lineomaculatus,140014115803,(Boulenger 1903),CYPRINIDAE,CYPRINIFORMES
DKE,,,Enteromius litamba,,,,,,,11,Enteromius litamba,140014115804,(Keilhack 1908),CYPRINIDAE,CYPRINIFORMES
BUI,,Broadband barb,Enteromius macrotaenia,Broadband barb,,,,,,11,Enteromius macrotaenia,140014115805,(Worthington 1933),CYPRINIDAE,CYPRINIFORMES
BSM,,Papermouth,Enteromius mattozi,Papermouth,,,,,,11,Enteromius mattozi,140014115806,(Guimarães 1884),CYPRINIDAE,CYPRINIFORMES
BUY,,,Enteromius neumayeri,,,,,,,11,Enteromius neumayeri,140014115807,(Fischer 1884),CYPRINIDAE,CYPRINIFORMES
BUU,,Straightfin barb,Enteromius paludinosus,Straightfin barb,,,,,,11,Enteromius paludinosus,140014115808,(Peters 1852),CYPRINIDAE,CYPRINIFORMES
BSI,,,Enteromius perince,,,,,,,11,Enteromius perince,140014115809,(Rüppell 1835),CYPRINIDAE,CYPRINIFORMES
BST,,Threespot barb,Enteromius trimaculatus,Threespot barb,,,,,,11,Enteromius trimaculatus,140014115810,(Peters 1852),CYPRINIDAE,CYPRINIFORMES
BSN,,Slender barb,Enteromius unitaeniatus,Slender barb,,,,,,11,Enteromius unitaeniatus,140014115811,(Günther 1867),CYPRINIDAE,CYPRINIFORMES
EPB,,Redtail sharkminnor,Epalzeorhynchos bicolor,Redtail sharkminnor,,,,,,11,Epalzeorhynchos bicolor,140014116201,(Smith 1931),CYPRINIDAE,CYPRINIFORMES
EQQ,,Flying fox,Epalzeorhynchos kalopterus,Flying fox,,,,,,11,Epalzeorhynchos kalopterus,140014116202,(Bleeker 1851),CYPRINIDAE,CYPRINIFORMES
PYI,,Somalian cavefish,Garra andruzzii,Somalian cavefish,,,,,,11,Garra andruzzii,140014116601,(Vinciguerra 1924),CYPRINIDAE,CYPRINIFORMES
GRD,,,Garra dembeensis,,,,,,,11,Garra dembeensis,140014116602,(Rüppell 1836),CYPRINIDAE,CYPRINIFORMES
GRG,,,Garra ghorensis,,,,,,,11,Garra ghorensis,140014116603,Krupp 1982,CYPRINIDAE,CYPRINIFORMES
GRT,,,Garra gotyla,,,,,,,11,Garra gotyla,140014116604,(Gray 1830),CYPRINIDAE,CYPRINIFORMES
HMK,,,Garra kemali,,,,,,,11,Garra kemali,140014116605,(Hankó 1925),CYPRINIDAE,CYPRINIFORMES
