code,uri,label,definition
5101047,NA,5101047,NA
5101048,NA,5101048,NA
5101049,NA,5101049,NA
5101050,NA,5101050,NA
5101051,NA,5101051,NA
5101052,NA,5101052,NA
5101053,NA,5101053,NA
5101054,NA,5101054,NA
5101055,NA,5101055,NA
5101056,NA,5101056,NA
5101057,NA,5101057,NA
5101058,NA,5101058,NA
5101059,NA,5101059,NA
5101060,NA,5101060,NA
5101061,NA,5101061,NA
5101062,NA,5101062,NA
5101063,NA,5101063,NA
5101064,NA,5101064,NA
5101065,NA,5101065,NA
5101066,NA,5101066,NA
5101067,NA,5101067,NA
5101068,NA,5101068,NA
5101069,NA,5101069,NA
5101070,NA,5101070,NA
5101071,NA,5101071,NA
5101072,NA,5101072,NA
5101073,NA,5101073,NA
5101074,NA,5101074,NA
5101075,NA,5101075,NA
5101076,NA,5101076,NA
5101077,NA,5101077,NA
5101078,NA,5101078,NA
5101079,NA,5101079,NA
5101080,NA,5101080,NA
5101081,NA,5101081,NA
5101082,NA,5101082,NA
5101083,NA,5101083,NA
5101084,NA,5101084,NA
5101085,NA,5101085,NA
5101086,NA,5101086,NA
5101087,NA,5101087,NA
5101088,NA,5101088,NA
5101089,NA,5101089,NA
5101090,NA,5101090,NA
5101091,NA,5101091,NA
5101092,NA,5101092,NA
5101093,NA,5101093,NA
5101094,NA,5101094,NA
5101095,NA,5101095,NA
5101096,NA,5101096,NA
5101097,NA,5101097,NA
5101098,NA,5101098,NA
5101099,NA,5101099,NA
5101100,NA,5101100,NA
5101101,NA,5101101,NA
5101102,NA,5101102,NA
5101103,NA,5101103,NA
5101104,NA,5101104,NA
5101105,NA,5101105,NA
5101106,NA,5101106,NA
5101107,NA,5101107,NA
5101108,NA,5101108,NA
5101109,NA,5101109,NA
5101110,NA,5101110,NA
5101111,NA,5101111,NA
5101112,NA,5101112,NA
5101113,NA,5101113,NA
5101114,NA,5101114,NA
5101115,NA,5101115,NA
5101116,NA,5101116,NA
5101117,NA,5101117,NA
5101118,NA,5101118,NA
5101119,NA,5101119,NA
5101120,NA,5101120,NA
5101121,NA,5101121,NA
5101122,NA,5101122,NA
5101123,NA,5101123,NA
5101124,NA,5101124,NA
5101125,NA,5101125,NA
5101126,NA,5101126,NA
5101127,NA,5101127,NA
5101128,NA,5101128,NA
5101129,NA,5101129,NA
5101130,NA,5101130,NA
5101131,NA,5101131,NA
5101132,NA,5101132,NA
5101133,NA,5101133,NA
5101134,NA,5101134,NA
5101135,NA,5101135,NA
5101136,NA,5101136,NA
5101137,NA,5101137,NA
5101138,NA,5101138,NA
5101139,NA,5101139,NA
5101140,NA,5101140,NA
5101141,NA,5101141,NA
5101142,NA,5101142,NA
5101143,NA,5101143,NA
5101144,NA,5101144,NA
5101145,NA,5101145,NA
5101146,NA,5101146,NA
5101147,NA,5101147,NA
5101148,NA,5101148,NA
5101149,NA,5101149,NA
5101150,NA,5101150,NA
5101151,NA,5101151,NA
5101152,NA,5101152,NA
5101153,NA,5101153,NA
5101154,NA,5101154,NA
5101155,NA,5101155,NA
5101156,NA,5101156,NA
5101157,NA,5101157,NA
5101158,NA,5101158,NA
5101159,NA,5101159,NA
5101160,NA,5101160,NA
5101161,NA,5101161,NA
5101162,NA,5101162,NA
5101163,NA,5101163,NA
5101164,NA,5101164,NA
5101165,NA,5101165,NA
5101166,NA,5101166,NA
5101167,NA,5101167,NA
5101168,NA,5101168,NA
5101169,NA,5101169,NA
5101170,NA,5101170,NA
5101171,NA,5101171,NA
5101172,NA,5101172,NA
5101173,NA,5101173,NA
5101174,NA,5101174,NA
5101175,NA,5101175,NA
5101176,NA,5101176,NA
5101177,NA,5101177,NA
5101178,NA,5101178,NA
5101179,NA,5101179,NA
5102000,NA,5102000,NA
5102001,NA,5102001,NA
5102002,NA,5102002,NA
5102003,NA,5102003,NA
5102004,NA,5102004,NA
5102005,NA,5102005,NA
5102006,NA,5102006,NA
5102007,NA,5102007,NA
5102008,NA,5102008,NA
5102009,NA,5102009,NA
5102010,NA,5102010,NA
5102011,NA,5102011,NA
5102012,NA,5102012,NA
5102013,NA,5102013,NA
5102014,NA,5102014,NA
5102015,NA,5102015,NA
5102016,NA,5102016,NA
5102017,NA,5102017,NA
5102018,NA,5102018,NA
5102019,NA,5102019,NA
5102020,NA,5102020,NA
5102021,NA,5102021,NA
5102022,NA,5102022,NA
5102023,NA,5102023,NA
5102024,NA,5102024,NA
5102025,NA,5102025,NA
5102026,NA,5102026,NA
5102027,NA,5102027,NA
5102028,NA,5102028,NA
5102029,NA,5102029,NA
5102030,NA,5102030,NA
5102031,NA,5102031,NA
5102032,NA,5102032,NA
5102033,NA,5102033,NA
5102034,NA,5102034,NA
5102035,NA,5102035,NA
5102036,NA,5102036,NA
5102037,NA,5102037,NA
5102038,NA,5102038,NA
5102039,NA,5102039,NA
5102040,NA,5102040,NA
5102041,NA,5102041,NA
5102042,NA,5102042,NA
5102043,NA,5102043,NA
5102044,NA,5102044,NA
5102045,NA,5102045,NA
5102046,NA,5102046,NA
5102047,NA,5102047,NA
5102048,NA,5102048,NA
5102049,NA,5102049,NA
5102050,NA,5102050,NA
5102051,NA,5102051,NA
5102052,NA,5102052,NA
5102053,NA,5102053,NA
5102054,NA,5102054,NA
5102055,NA,5102055,NA
5102056,NA,5102056,NA
5102057,NA,5102057,NA
5102058,NA,5102058,NA
5102059,NA,5102059,NA
5102060,NA,5102060,NA
5102061,NA,5102061,NA
5102062,NA,5102062,NA
5102063,NA,5102063,NA
5102064,NA,5102064,NA
5102065,NA,5102065,NA
5102066,NA,5102066,NA
5102067,NA,5102067,NA
5102068,NA,5102068,NA
5102069,NA,5102069,NA
5102070,NA,5102070,NA
5102071,NA,5102071,NA
5102072,NA,5102072,NA
5102073,NA,5102073,NA
5102074,NA,5102074,NA
5102075,NA,5102075,NA
5102076,NA,5102076,NA
5102077,NA,5102077,NA
5102078,NA,5102078,NA
5102079,NA,5102079,NA
5102080,NA,5102080,NA
5102081,NA,5102081,NA
5102082,NA,5102082,NA
5102083,NA,5102083,NA
5102084,NA,5102084,NA
5102085,NA,5102085,NA
5102086,NA,5102086,NA
5102087,NA,5102087,NA
5102088,NA,5102088,NA
5102089,NA,5102089,NA
5102090,NA,5102090,NA
5102091,NA,5102091,NA
5102092,NA,5102092,NA
5102093,NA,5102093,NA
5102094,NA,5102094,NA
5102095,NA,5102095,NA
5102096,NA,5102096,NA
5102097,NA,5102097,NA
5102098,NA,5102098,NA
5102099,NA,5102099,NA
5102100,NA,5102100,NA
5102101,NA,5102101,NA
5102102,NA,5102102,NA
5102103,NA,5102103,NA
5102104,NA,5102104,NA
5102105,NA,5102105,NA
5102106,NA,5102106,NA
5102107,NA,5102107,NA
5102108,NA,5102108,NA
5102109,NA,5102109,NA
5102110,NA,5102110,NA
5102111,NA,5102111,NA
5102112,NA,5102112,NA
5102113,NA,5102113,NA
5102114,NA,5102114,NA
5102115,NA,5102115,NA
5102116,NA,5102116,NA
