"code","uri","label","definition"
"catch",,"Catch","Catch measurements"
"effort",,"Effort","Effort measurements"
"bycatch",,"Bycatch","Bycatch measurements"
"fleet_engagement",,"Fleet engagement", "Fleet engagement measurements"
"trade",,"Trade","Trade measurements"
"bio",,"Biology","Biological measurements"
