"code","uri","label","definition","label_en","label_es","label_fr","label_ru","label_cn","official_name_ar","official_name_en","official_name_es","official_name_fr","official_name_ru","official_name_cn","official_name_ar.1","char12_code","un_code"
"DJI",NA,"Djibouti",NA,"Djibouti","Djibouti","Djibouti","<U+0414><U+0436><U+0438><U+0431><U+0443><U+0442><U+0438>","<U+5409><U+5E03><U+63D0>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+062C><U+064A><U+0628><U+0648><U+062A><U+064A>","the Republic of Djibouti","la República de Djibouti","la République de Djibouti","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0414><U+0436><U+0438><U+0431><U+0443><U+0442><U+0438>","<U+5409><U+5E03><U+63D0><U+5171><U+548C><U+56FD>","<U+062C><U+064A><U+0628><U+0648><U+062A><U+064A>","Djibouti","262"
"GEO",NA,"Georgia",NA,"Georgia","Georgia","Géorgie","<U+0413><U+0440><U+0443><U+0437><U+0438><U+044F>","<U+683C><U+9C81><U+5409><U+4E9A>","<U+062C><U+0648><U+0631><U+062C><U+064A><U+0627>","Georgia","Georgia","la Géorgie","<U+0413><U+0440><U+0443><U+0437><U+0438><U+044F>","<U+683C><U+9C81><U+5409><U+4E9A>","<U+062C><U+0648><U+0631><U+062C><U+064A><U+0627>","Georgia","268"
"GAB",NA,"Gabon",NA,"Gabon","Gabón","Gabon","<U+0413><U+0430><U+0431><U+043E><U+043D>","<U+52A0><U+84EC>","<U+0627><U+0644><U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+063A><U+0627><U+0628><U+0648><U+0646><U+064A><U+0629>","the Gabonese Republic","la República Gabonesa","la République gabonaise","<U+0413><U+0430><U+0431><U+043E><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+52A0><U+84EC><U+5171><U+548C><U+56FD>","<U+063A><U+0627><U+0628><U+0648><U+0646>","Gabon","266"
"GMB",NA,"Gambia",NA,"Gambia","Gambia","Gambie","<U+0413><U+0430><U+043C><U+0431><U+0438><U+044F>","<U+5188><U+6BD4><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+063A><U+0627><U+0645><U+0628><U+064A><U+0627>","the Republic of the Gambia","la República de Gambia","la République de Gambie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0430><U+043C><U+0431><U+0438><U+044F>","<U+5188><U+6BD4><U+4E9A><U+5171><U+548C><U+56FD>","<U+063A><U+0627><U+0645><U+0628><U+064A><U+0627>","Gambia","270"
NA,NA,"Gaza Strip",NA,"Gaza Strip","Franja de Gaza","Bande de Gaza","<U+0441><U+0435><U+043A><U+0442><U+043E><U+0440> <U+0413><U+0430><U+0437><U+0430>","<U+52A0><U+6C99><U+5730><U+5E26>","<U+0642><U+0637><U+0627><U+0639> <U+063A><U+0632><U+0629>","Gaza Strip","Franja de Gaza","Bande de Gaza","<U+0441><U+0435><U+043A><U+0442><U+043E><U+0440> <U+0413><U+0430><U+0437><U+0430>","<U+52A0><U+6C99><U+5730><U+5E26>","<U+0642><U+0637><U+0627><U+0639> <U+063A><U+0632><U+0629>","Gaza Strip","274"
NA,NA,"Germany,New Länder",NA,"Germany,New Länder","Alemania,Nuevos Länder","Allemagne,NouveauxLänder",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany NL","278"
NA,NA,"Germany, Fed. Rep. of",NA,"Germany, Fed. Rep. of","Alemania, Rep. Fed. de","Allemagne, Rép. féd. d'",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany FR","280"
"DEU",NA,"Germany",NA,"Germany","Alemania","Allemagne","<U+0413><U+0435><U+0440><U+043C><U+0430><U+043D><U+0438><U+044F>","<U+5FB7><U+56FD>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0623><U+0644><U+0645><U+0627><U+0646><U+064A><U+0627> <U+0627><U+0644><U+0627><U+062A><U+062D><U+0627><U+062F><U+064A><U+0629>","the Federal Republic of Germany","la República Federal de Alemania","la République fédérale d'Allemagne","<U+0424><U+0435><U+0434><U+0435><U+0440><U+0430><U+0442><U+0438><U+0432><U+043D><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0435><U+0440><U+043C><U+0430><U+043D><U+0438><U+044F>","<U+5FB7><U+610F><U+5FD7><U+8054><U+90A6><U+5171><U+548C><U+56FD>","<U+0623><U+0644><U+0645><U+0627><U+0646><U+064A><U+0627>","Germany","276"
"BIH",NA,"Bosnia and Herzegovina",NA,"Bosnia and Herzegovina","Bosnia y Herzegovina","Bosnie-Herzégovine","<U+0411><U+043E><U+0441><U+043D><U+0438><U+044F> <U+0438> <U+0413><U+0435><U+0440><U+0446><U+0435><U+0433><U+043E><U+0432><U+0438><U+043D><U+0430>","<U+6CE2><U+65AF><U+5C3C><U+4E9A><U+548C><U+9ED1><U+585E><U+54E5><U+7EF4><U+90A3>","<U+0627><U+0644><U+0628><U+0648><U+0633><U+0646><U+0629> <U+0648><U+0627><U+0644><U+0647><U+0631><U+0633><U+0643>","Bosnia and Herzegovina","Bosnia y Herzegovina","la Bosnie-Herzégovine","<U+0411><U+043E><U+0441><U+043D><U+0438><U+044F> <U+0438> <U+0413><U+0435><U+0440><U+0446><U+0435><U+0433><U+043E><U+0432><U+0438><U+043D><U+0430>","<U+6CE2><U+65AF><U+5C3C><U+4E9A><U+548C><U+9ED1><U+585E><U+54E5><U+7EF4><U+90A3>","<U+0627><U+0644><U+0628><U+0648><U+0633><U+0646><U+0629> <U+0648><U+0627><U+0644><U+0647><U+0631><U+0633><U+0643>","Bosnia Herzg","070"
"GHA",NA,"Ghana",NA,"Ghana","Ghana","Ghana","<U+0413><U+0430><U+043D><U+0430>","<U+52A0><U+7EB3>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+063A><U+0627><U+0646><U+0627>","the Republic of Ghana","la República de Ghana","la République du Ghana","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0430><U+043D><U+0430>","<U+52A0><U+7EB3><U+5171><U+548C><U+56FD>","<U+063A><U+0627><U+0646><U+0627>","Ghana","288"
"GIB",NA,"Gibraltar",NA,"Gibraltar","Gibraltar","Gibraltar","<U+0413><U+0438><U+0431><U+0440><U+0430><U+043B><U+0442><U+0430><U+0440>","<U+76F4><U+5E03><U+7F57><U+9640>","<U+062C><U+0628><U+0644> <U+0637><U+0627><U+0631><U+0642>","Gibraltar","Gibraltar","Gibraltar","<U+0413><U+0438><U+0431><U+0440><U+0430><U+043B><U+0442><U+0430><U+0440>","<U+76F4><U+5E03><U+7F57><U+9640>","<U+062C><U+0628><U+0644> <U+0637><U+0627><U+0631><U+0642>","Gibraltar","292"
"KIR",NA,"Kiribati",NA,"Kiribati","Kiribati","Kiribati","<U+041A><U+0438><U+0440><U+0438><U+0431><U+0430><U+0442><U+0438>","<U+57FA><U+91CC><U+5DF4><U+65AF>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0643><U+064A><U+0631><U+064A><U+0628><U+0627><U+0633>","the Republic of Kiribati","la República de Kiribati","la République de Kiribati","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0438><U+0440><U+0438><U+0431><U+0430><U+0442><U+0438>","<U+57FA><U+91CC><U+5DF4><U+65AF><U+5171><U+548C><U+56FD>","<U+0643><U+064A><U+0631><U+064A><U+0628><U+0627><U+0633>","Kiribati","296"
"GRC",NA,"Greece",NA,"Greece","Grecia","Grèce","<U+0413><U+0440><U+0435><U+0446><U+0438><U+044F>","<U+5E0C><U+814A>","<U+0627><U+0644><U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0647><U+064A><U+0644><U+0627><U+0646><U+064A><U+0651><U+0629>","the Hellenic Republic","la República Helénica","la République hellénique","<U+0413><U+0440><U+0435><U+0447><U+0435><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+5E0C><U+814A><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+064A><U+0648><U+0646><U+0627><U+0646>","Greece","300"
"GRL",NA,"Greenland",NA,"Greenland","Groenlandia","Groenland","<U+0413><U+0440><U+0435><U+043D><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+683C><U+9675><U+5170>","<U+063A><U+0631><U+064A><U+0646><U+0644><U+0627><U+0646><U+062F>","Greenland","Groenlandia","Groenland","<U+0413><U+0440><U+0435><U+043D><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+683C><U+9675><U+5170>","<U+063A><U+0631><U+064A><U+0646><U+0644><U+0627><U+0646><U+062F>","Greenland","304"
"GRD",NA,"Grenada",NA,"Grenada","Granada","Grenade","<U+0413><U+0440><U+0435><U+043D><U+0430><U+0434><U+0430>","<U+683C><U+6797><U+7EB3><U+8FBE>","<U+063A><U+0631><U+064A><U+0646><U+0627><U+062F><U+0627>","Grenada","Granada","la Grenade","<U+0413><U+0440><U+0435><U+043D><U+0430><U+0434><U+0430>","<U+683C><U+6797><U+7EB3><U+8FBE>","<U+063A><U+0631><U+064A><U+0646><U+0627><U+062F><U+0627>","Grenada","308"
"GLP",NA,"Guadeloupe",NA,"Guadeloupe","Guadalupe","Guadeloupe","<U+0413><U+0432><U+0430><U+0434><U+0435><U+043B><U+0443><U+043F><U+0430>","<U+74DC><U+5FB7><U+7F57><U+666E>","<U+063A><U+0648><U+0627><U+062F><U+0644><U+0648><U+0628>","Guadeloupe","Guadalupe","la Guadeloupe","<U+0413><U+0432><U+0430><U+0434><U+0435><U+043B><U+0443><U+043F><U+0430>","<U+74DC><U+5FB7><U+7F57><U+666E>","<U+063A><U+0648><U+0627><U+062F><U+0644><U+0648><U+0628>","Guadeloupe","312"
"GUM",NA,"Guam",NA,"Guam","Guam","Guam","<U+0413><U+0443><U+0430><U+043C>","<U+5173><U+5C9B>","<U+063A><U+0648><U+0627><U+0645>","Guam","Guam","Guam","<U+0413><U+0443><U+0430><U+043C>","<U+5173><U+5C9B>","<U+063A><U+0648><U+0627><U+0645>","Guam","316"
"GTM",NA,"Guatemala",NA,"Guatemala","Guatemala","Guatemala","<U+0413><U+0432><U+0430><U+0442><U+0435><U+043C><U+0430><U+043B><U+0430>","<U+5371><U+5730><U+9A6C><U+62C9>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+063A><U+0648><U+0627><U+062A><U+064A><U+0645><U+0627><U+0644><U+0627>","the Republic of Guatemala","la República de Guatemala","la République du Guatemala","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0432><U+0430><U+0442><U+0435><U+043C><U+0430><U+043B><U+0430>","<U+5371><U+5730><U+9A6C><U+62C9><U+5171><U+548C><U+56FD>","<U+063A><U+0648><U+0627><U+062A><U+064A><U+0645><U+0627><U+0644><U+0627>","Guatemala","320"
"GIN",NA,"Guinea",NA,"Guinea","Guinea","Guinée","<U+0413><U+0432><U+0438><U+043D><U+0435><U+044F>","<U+51E0><U+5185><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+063A><U+064A><U+0646><U+064A><U+0627>","the Republic of Guinea","la República de Guinea","la République de Guinée","<U+0413><U+0432><U+0438><U+043D><U+0435><U+0439><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+51E0><U+5185><U+4E9A><U+5171><U+548C><U+56FD>","<U+063A><U+064A><U+0646><U+064A><U+0627>","Guinea","324"
"GUY",NA,"Guyana",NA,"Guyana","Guyana","Guyana","<U+0413><U+0430><U+0439><U+0430><U+043D><U+0430>","<U+572D><U+4E9A><U+90A3>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+063A><U+064A><U+0627><U+0646><U+0627> <U+0627><U+0644><U+062A><U+0639><U+0627><U+0648><U+0646><U+064A><U+0651><U+0629>","the Co-operative Republic of Guyana","la República Cooperativa de Guyana","la République coopérative du Guyana","<U+041A><U+043E><U+043E><U+043F><U+0435><U+0440><U+0430><U+0442><U+0438><U+0432><U+043D><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0430><U+0439><U+0430><U+043D><U+0430>","<U+572D><U+4E9A><U+90A3><U+5408><U+4F5C><U+5171><U+548C><U+56FD>","<U+063A><U+064A><U+0627><U+0646><U+0627>","Guyana","328"
"HMD",NA,"Heard and McDonald Is.",NA,"Heard and McDonald Is.","Islas Heard y McDonald","Îles Heard et McDonald","<U+043E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430> <U+0425><U+0435><U+0440><U+0434> <U+0438> <U+041C><U+0430><U+043A><U+0434><U+043E><U+043D><U+0430><U+043B><U+044C><U+0434>","<U+8D6B><U+5FB7><U+548C><U+9EA6><U+514B><U+5510><U+7EB3><U+7FA4><U+5C9B>","<U+062C><U+0632><U+064A><U+0631><U+0629> <U+0647><U+064A><U+0631><U+062F> <U+0648><U+062C><U+0632><U+0631> <U+0645><U+0627><U+0643><U+062F><U+0648><U+0646><U+0627><U+0644><U+062F>","the Heard Island and McDonald Islands","las Islas Heard y McDonald","les Îles Heard et McDonald","<U+043E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430> <U+0425><U+0435><U+0440><U+0434> <U+0438> <U+041C><U+0430><U+043A><U+0434><U+043E><U+043D><U+0430><U+043B><U+044C><U+0434>","<U+8D6B><U+5FB7><U+5C9B><U+548C><U+9EA6><U+514B><U+5510><U+7EB3><U+5C9B>","<U+062C><U+0632><U+064A><U+0631><U+0629> <U+0647><U+064A><U+0631><U+062F> <U+0648><U+062C><U+0632><U+0631> <U+0645><U+0627><U+0643><U+062F><U+0648><U+0646><U+0627><U+0644><U+062F>","Heard Is","334"
"HTI",NA,"Haiti",NA,"Haiti","Haití","Haïti","<U+0413><U+0430><U+0438><U+0442><U+0438>","<U+6D77><U+5730>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0647><U+0627><U+064A><U+062A><U+064A>","the Republic of Haiti","la República de Haití","la République d'Haïti","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+0430><U+0438><U+0442><U+0438>","<U+6D77><U+5730><U+5171><U+548C><U+56FD>","<U+0647><U+0627><U+064A><U+062A><U+064A>","Haiti","332"
"VAT",NA,"Holy See",NA,"Holy See","Santa Sede","Saint-Siège","<U+0421><U+0432><U+044F><U+0442><U+043E><U+0439> <U+041F><U+0440><U+0435><U+0441><U+0442><U+043E><U+043B>","<U+6559><U+5EF7>","<U+0627><U+0644><U+0643><U+0631><U+0633><U+064A> <U+0627><U+0644><U+0631><U+0633><U+0648><U+0644><U+064A>","the Holy See","la Santa Sede","le Saint-Siège","<U+0421><U+0432><U+044F><U+0442><U+043E><U+0439> <U+041F><U+0440><U+0435><U+0441><U+0442><U+043E><U+043B>","<U+6559><U+5EF7>","<U+0627><U+0644><U+0643><U+0631><U+0633><U+064A> <U+0627><U+0644><U+0631><U+0633><U+0648><U+0644><U+064A>","Holy See","336"
"HND",NA,"Honduras",NA,"Honduras","Honduras","Honduras","<U+0413><U+043E><U+043D><U+0434><U+0443><U+0440><U+0430><U+0441>","<U+6D2A><U+90FD><U+62C9><U+65AF>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0647><U+0646><U+062F><U+0648><U+0631><U+0627><U+0633>","the Republic of Honduras","la República de Honduras","la République du Honduras","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0413><U+043E><U+043D><U+0434><U+0443><U+0440><U+0430><U+0441>","<U+6D2A><U+90FD><U+62C9><U+65AF><U+5171><U+548C><U+56FD>","<U+0647><U+0646><U+062F><U+0648><U+0631><U+0627><U+0633>","Honduras","340"
"HKG",NA,"China, Hong Kong SAR",NA,"China, Hong Kong SAR","China, RAE de Hong Kong","Chine - RAS de Hong-Kong","<U+041A><U+0438><U+0442><U+0430><U+0439>, <U+0421><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0430><U+0434><U+043C><U+0438><U+043D><U+0438><U+0441><U+0442><U+0440><U+0430><U+0442><U+0438><U+0432><U+043D><U+044B><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D> <U+0413><U+043E><U+043D><U+043A><U+043E><U+043D><U+0433>","<U+4E2D><U+56FD><U+9999><U+6E2F><U+7279><U+533A>","<U+0627><U+0644><U+0635><U+064A><U+0646> - <U+0647><U+0648><U+0646><U+063A> <U+0643><U+0648><U+0646><U+063A> <U+0645><U+0646><U+0637><U+0642><U+0629> <U+0625><U+062F><U+0627><U+0631><U+064A><U+0651><U+0629> <U+062E><U+0627><U+0635><U+0629>","China, Hong Kong Special Administrative Region","China, Región Administrativa Especial de Hong Kong","Chine - Région administrative spéciale de Hong-Kong","<U+041A><U+0438><U+0442><U+0430><U+0439>, <U+0421><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0430><U+0434><U+043C><U+0438><U+043D><U+0438><U+0441><U+0442><U+0440><U+0430><U+0442><U+0438><U+0432><U+043D><U+044B><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D> <U+0413><U+043E><U+043D><U+043A><U+043E><U+043D><U+0433>","<U+4E2D><U+56FD><U+9999><U+6E2F><U+7279><U+522B><U+884C><U+653F><U+533A>","<U+0627><U+0644><U+0635><U+064A><U+0646> - <U+0647><U+0648><U+0646><U+063A> <U+0643><U+0648><U+0646><U+063A> <U+0645><U+0646><U+0637><U+0642><U+0629> <U+0625><U+062F><U+0627><U+0631><U+064A><U+0651><U+0629> <U+062E><U+0627><U+0635><U+0629>","China,H.Kong","344"
"HUN",NA,"Hungary",NA,"Hungary","Hungría","Hongrie","<U+0412><U+0435><U+043D><U+0433><U+0440><U+0438><U+044F>","<U+5308><U+7259><U+5229>","<U+0647><U+0646><U+063A><U+0627><U+0631><U+064A><U+0627>","Hungary","Hungría","la Hongrie","<U+0412><U+0435><U+043D><U+0433><U+0440><U+0438><U+044F>","<U+5308><U+7259><U+5229>","<U+0647><U+0646><U+063A><U+0627><U+0631><U+064A><U+0627>","Hungary","348"
"HRV",NA,"Croatia",NA,"Croatia","Croacia","Croatie","<U+0425><U+043E><U+0440><U+0432><U+0430><U+0442><U+0438><U+044F>","<U+514B><U+7F57><U+5730><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0643><U+0631><U+0648><U+0627><U+062A><U+064A><U+0627>","the Republic of Croatia","la República de Croacia","la République de Croatie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0425><U+043E><U+0440><U+0432><U+0430><U+0442><U+0438><U+044F>","<U+514B><U+7F57><U+5730><U+4E9A><U+5171><U+548C><U+56FD>","<U+0643><U+0631><U+0648><U+0627><U+062A><U+064A><U+0627>","Croatia","191"
"ISL",NA,"Iceland",NA,"Iceland","Islandia","Islande","<U+0418><U+0441><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+51B0><U+5C9B>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0622><U+064A><U+0633><U+0644><U+0646><U+062F><U+0627>","the Republic of Iceland","la República de Islandia","la République d'Islande","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+0441><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+51B0><U+5C9B><U+5171><U+548C><U+56FD>","<U+0622><U+064A><U+0633><U+0644><U+0646><U+062F><U+0627>","Iceland","352"
"IND",NA,"India",NA,"India","India","Inde","<U+0418><U+043D><U+0434><U+0438><U+044F>","<U+5370><U+5EA6>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0647><U+0646><U+062F>","the Republic of India","la República de la India","la République de l'Inde","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0434><U+0438><U+044F>","<U+5370><U+5EA6><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0647><U+0646><U+062F>","India","356"
"IDN",NA,"Indonesia",NA,"Indonesia","Indonesia","Indonésie","<U+0418><U+043D><U+0434><U+043E><U+043D><U+0435><U+0437><U+0438><U+044F>","<U+5370><U+5EA6><U+5C3C><U+897F><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0625><U+0646><U+062F><U+0648><U+0646><U+064A><U+0633><U+064A><U+0627>","the Republic of Indonesia","la República de Indonesia","la République d'Indonésie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0434><U+043E><U+043D><U+0435><U+0437><U+0438><U+044F>","<U+5370><U+5EA6><U+5C3C><U+897F><U+4E9A><U+5171><U+548C><U+56FD>","<U+0625><U+0646><U+062F><U+0648><U+0646><U+064A><U+0633><U+064A><U+0627>","Indonesia","360"
"IRN",NA,"Iran (Islamic Rep. of)",NA,"Iran (Islamic Rep. of)","Irán (Rep. Islámica del)","Iran (Rép. islamique d')","<U+0418><U+0440><U+0430><U+043D> (<U+0418><U+0441><U+043B><U+0430><U+043C><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>)","<U+4F0A><U+6717>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0625><U+064A><U+0631><U+0627><U+0646> <U+0627><U+0644><U+0625><U+0633><U+0644><U+0627><U+0645><U+064A><U+0629>","the Islamic Republic of Iran","la República Islámica del Irán","la République islamique d'Iran","<U+0418><U+0441><U+043B><U+0430><U+043C><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+0440><U+0430><U+043D>","<U+4F0A><U+6717><U+4F0A><U+65AF><U+5170><U+5171><U+548C><U+56FD>","<U+0625><U+064A><U+0631><U+0627><U+0646> (<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> - <U+0627><U+0644><U+0625><U+0633><U+0644><U+0627><U+0645><U+064A><U+0629>)","Iran","364"
"IRQ",NA,"Iraq",NA,"Iraq","Iraq","Iraq","<U+0418><U+0440><U+0430><U+043A>","<U+4F0A><U+62C9><U+514B>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0627><U+0642>","the Republic of Iraq","la República del Iraq","la République d'Iraq","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+0440><U+0430><U+043A>","<U+4F0A><U+62C9><U+514B><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0639><U+0631><U+0627><U+0642>","Iraq","368"
"IRL",NA,"Ireland",NA,"Ireland","Irlanda","Irlande","<U+0418><U+0440><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+7231><U+5C14><U+5170>","<U+0622><U+064A><U+0631><U+0644><U+0646><U+062F><U+0627>","Ireland","Irlanda","l'Irlande","<U+0418><U+0440><U+043B><U+0430><U+043D><U+0434><U+0438><U+044F>","<U+7231><U+5C14><U+5170>","<U+0622><U+064A><U+0631><U+0644><U+0646><U+062F><U+0627>","Ireland","372"
"ISR",NA,"Israel",NA,"Israel","Israel","Israël","<U+0418><U+0437><U+0440><U+0430><U+0438><U+043B><U+044C>","<U+4EE5><U+8272><U+5217>","<U+062F><U+0648><U+0644><U+0629> <U+0625><U+0633><U+0631><U+0627><U+0626><U+064A><U+0644>","the State of Israel","el Estado de Israel","l'État d'Israël","<U+0413><U+043E><U+0441><U+0443><U+0434><U+0430><U+0440><U+0441><U+0442><U+0432><U+043E> <U+0418><U+0437><U+0440><U+0430><U+0438><U+043B><U+044C>","<U+4EE5><U+8272><U+5217><U+56FD>","<U+0625><U+0633><U+0631><U+0627><U+0626><U+064A><U+0644>","Israel","376"
"ITA",NA,"Italy",NA,"Italy","Italia","Italie","<U+0418><U+0442><U+0430><U+043B><U+0438><U+044F>","<U+610F><U+5927><U+5229>","<U+0627><U+0644><U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0625><U+064A><U+0637><U+0627><U+0644><U+064A><U+0629>","the Republic of Italy","la República Italiana","la République italienne","<U+0418><U+0442><U+0430><U+043B><U+044C><U+044F><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+610F><U+5927><U+5229><U+5171><U+548C><U+56FD>","<U+0625><U+064A><U+0637><U+0627><U+0644><U+064A><U+0627>","Italy","380"
"CIV",NA,"Côte d'Ivoire",NA,"Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire","<U+041A><U+043E><U+0442>-<U+0434>'<U+0418><U+0432><U+0443><U+0430><U+0440>","<U+79D1><U+7279><U+8FEA><U+74E6>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0643><U+0648><U+062A> <U+062F><U+064A><U+0641><U+0648><U+0627><U+0631>","the Republic of Côte d'Ivoire","la República de Côte d'Ivoire","la République de Côte d'Ivoire","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+043E><U+0442>-<U+0434>'<U+0418><U+0432><U+0443><U+0430><U+0440>","<U+79D1><U+7279><U+8FEA><U+74E6><U+5171><U+548C><U+56FD>","<U+0643><U+0648><U+062A> <U+062F><U+064A><U+0641><U+0648><U+0627><U+0631>","Côte dIvoire","384"
"KAZ",NA,"Kazakhstan",NA,"Kazakhstan","Kazajstán","Kazakhstan","<U+041A><U+0430><U+0437><U+0430><U+0445><U+0441><U+0442><U+0430><U+043D>","<U+54C8><U+8428><U+514B><U+65AF><U+5766>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0643><U+0627><U+0632><U+0627><U+062E><U+0633><U+062A><U+0627><U+0646>","the Republic of Kazakhstan","la República de Kazajstán","la République du Kazakhstan","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+0437><U+0430><U+0445><U+0441><U+0442><U+0430><U+043D>","<U+54C8><U+8428><U+514B><U+65AF><U+5766><U+5171><U+548C><U+56FD>","<U+0643><U+0627><U+0632><U+0627><U+062E><U+0633><U+062A><U+0627><U+0646>","Kazakhstan","398"
