"code","uri","label","definition","label_en","label_es","label_fr","label_ru","label_cn","official_name_ar","official_name_en","official_name_es","official_name_fr","official_name_ru","official_name_cn","official_name_ar.1","char12_code","un_code"
"AUT",NA,"Austria",NA,"Austria","Austria","Autriche","<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+044F>","<U+5965><U+5730><U+5229>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0646><U+0645><U+0633><U+0627>","the Republic of Austria","la República de Austria","la République d'Autriche","<U+0410><U+0432><U+0441><U+0442><U+0440><U+0438><U+0439><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","<U+5965><U+5730><U+5229><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0646><U+0645><U+0633><U+0627>","Austria","040"
"BHS",NA,"Bahamas",NA,"Bahamas","Bahamas","Bahamas","<U+0411><U+0430><U+0433><U+0430><U+043C><U+0441><U+043A><U+0438><U+0435> <U+041E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430>","<U+5DF4><U+54C8><U+9A6C>","<U+0643><U+0648><U+0645><U+0646><U+0648><U+0644><U+062B> <U+062C><U+0632><U+0631> <U+0627><U+0644><U+0628><U+0647><U+0627><U+0645><U+0627>","the Commonwealth of the Bahamas","el Commonwealth de las Bahamas","le Commonwealth des Bahamas","<U+0421><U+043E><U+0434><U+0440><U+0443><U+0436><U+0435><U+0441><U+0442><U+0432><U+043E> <U+0411><U+0430><U+0433><U+0430><U+043C><U+0441><U+043A><U+0438><U+0445> <U+041E><U+0441><U+0442><U+0440><U+043E><U+0432><U+043E><U+0432>","<U+5DF4><U+54C8><U+9A6C><U+56FD>","<U+062C><U+0632><U+0631> <U+0627><U+0644><U+0628><U+0647><U+0627><U+0645><U+0627>","Bahamas","044"
"BHR",NA,"Bahrain",NA,"Bahrain","Bahrein","Bahreïn","<U+0411><U+0430><U+0445><U+0440><U+0435><U+0439><U+043D>","<U+5DF4><U+6797>","<U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0628><U+062D><U+0631><U+064A><U+0646>","the Kingdom of Bahrain","el Reino de Bahrein","le Royaume de Bahreïn","<U+041A><U+043E><U+0440><U+043E><U+043B><U+0435><U+0432><U+0441><U+0442><U+0432><U+043E> <U+0411><U+0430><U+0445><U+0440><U+0435><U+0439><U+043D>","<U+5DF4><U+6797><U+738B><U+56FD>","<U+0627><U+0644><U+0628><U+062D><U+0631><U+064A><U+0646>","Bahrain","048"
"BRB",NA,"Barbados",NA,"Barbados","Barbados","Barbade","<U+0411><U+0430><U+0440><U+0431><U+0430><U+0434><U+043E><U+0441>","<U+5DF4><U+5DF4><U+591A><U+65AF>","<U+0628><U+0631><U+0628><U+0627><U+062F><U+0648><U+0633>","Barbados","Barbados","la Barbade","<U+0411><U+0430><U+0440><U+0431><U+0430><U+0434><U+043E><U+0441>","<U+5DF4><U+5DF4><U+591A><U+65AF>","<U+0628><U+0631><U+0628><U+0627><U+062F><U+0648><U+0633>","Barbados","052"
NA,NA,"Belgium-Luxembourg",NA,"Belgium-Luxembourg","Belgica-Luxemburgo","Belgique-Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bel-Lux","058"
"BGD",NA,"Bangladesh",NA,"Bangladesh","Bangladesh","Bangladesh","<U+0411><U+0430><U+043D><U+0433><U+043B><U+0430><U+0434><U+0435><U+0448>","<U+5B5F><U+52A0><U+62C9><U+56FD>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0628><U+0646><U+063A><U+0644><U+0627><U+062F><U+064A><U+0634> <U+0627><U+0644><U+0634><U+0639><U+0628><U+064A><U+0651><U+0629>","the People's Republic of Bangladesh","la República Popular de Bangladesh","la République populaire du Bangladesh","<U+041D><U+0430><U+0440><U+043E><U+0434><U+043D><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0430><U+043D><U+0433><U+043B><U+0430><U+0434><U+0435><U+0448>","<U+5B5F><U+52A0><U+62C9><U+4EBA><U+6C11><U+5171><U+548C><U+56FD>","<U+0628><U+0646><U+063A><U+0644><U+0627><U+062F><U+064A><U+0634>","Bangladesh","050"
"BMU",NA,"Bermuda",NA,"Bermuda","Bermudas","Bermudes","<U+0411><U+0435><U+0440><U+043C><U+0443><U+0434><U+0441><U+043A><U+0438><U+0435> <U+043E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430>","<U+767E><U+6155><U+5927>","<U+0628><U+0631><U+0645><U+0648><U+062F><U+0627>","Bermuda","Bermudas","les Bermudes","<U+0411><U+0435><U+0440><U+043C><U+0443><U+0434><U+0441><U+043A><U+0438><U+0435> <U+043E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430>","<U+767E><U+6155><U+5927>","<U+0628><U+0631><U+0645><U+0648><U+062F><U+0627>","Bermuda","060"
"BTN",NA,"Bhutan",NA,"Bhutan","Bhután","Bhoutan","<U+0411><U+0443><U+0442><U+0430><U+043D>","<U+4E0D><U+4E39>","<U+0645><U+0645><U+0644><U+0643><U+0629> <U+0628><U+0648><U+062A><U+0627><U+0646>","the Kingdom of Bhutan","el Reino de Bhután","le Royaume du Bhoutan","<U+041A><U+043E><U+0440><U+043E><U+043B><U+0435><U+0432><U+0441><U+0442><U+0432><U+043E> <U+0411><U+0443><U+0442><U+0430><U+043D>","<U+4E0D><U+4E39><U+738B><U+56FD>","<U+0628><U+0648><U+062A><U+0627><U+0646>","Bhutan","064"
"BOL",NA,"Bolivia (Plurinat.State)",NA,"Bolivia (Plurinat.State)","Bolivia (Estado Plurin.)","Bolivie (État plurinat.)","<U+0411><U+043E><U+043B><U+0438><U+0432><U+0438><U+044F> (<U+041C><U+043D><U+043E><U+0433><U+043E><U+043D><U+0430><U+0446><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0435> <U+0413><U+043E><U+0441><U+0443><U+0434><U+0430><U+0440><U+0441><U+0442><U+0432><U+043E>)","<U+73BB><U+5229><U+7EF4><U+4E9A>","<U+062F><U+0648><U+0644><U+0629> <U+0628><U+0648><U+0644><U+064A><U+0641><U+064A><U+0627> <U+0627><U+0644><U+0645><U+062A><U+0639><U+062F><U+062F><U+0629> <U+0627><U+0644><U+0642><U+0648><U+0645><U+064A><U+0627><U+062A>","the Plurinational State of Bolivia","el Estado Plurinacional de Bolivia","l'État plurinational de Bolivie","<U+041C><U+043D><U+043E><U+0433><U+043E><U+043D><U+0430><U+0446><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0435> <U+0413><U+043E><U+0441><U+0443><U+0434><U+0430><U+0440><U+0441><U+0442><U+0432><U+043E> <U+0411><U+043E><U+043B><U+0438><U+0432><U+0438><U+044F>","<U+591A><U+6C11><U+65CF><U+73BB><U+5229><U+7EF4><U+4E9A><U+56FD>","<U+0628><U+0648><U+0644><U+064A><U+0641><U+064A><U+0627> (<U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0645><U+062A><U+0639><U+062F><U+062F><U+0629> <U+0627><U+0644><U+0642><U+0648><U+0645><U+064A><U+0627><U+062A>)","Bolivia","068"
"BWA",NA,"Botswana",NA,"Botswana","Botswana","Botswana","<U+0411><U+043E><U+0442><U+0441><U+0432><U+0430><U+043D><U+0430>","<U+535A><U+8328><U+74E6><U+7EB3>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0628><U+0648><U+062A><U+0633><U+0648><U+0627><U+0646><U+0627>","the Republic of Botswana","la República de Botswana","la République du Botswana","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+043E><U+0442><U+0441><U+0432><U+0430><U+043D><U+0430>","<U+535A><U+8328><U+74E6><U+7EB3><U+5171><U+548C><U+56FD>","<U+0628><U+0648><U+062A><U+0633><U+0648><U+0627><U+0646><U+0627>","Botswana","072"
